!  STARS, BROWN DWARFS, AND GAS GIANT PLANETS COLORS
!  
!  E(B-V) =     0.000
!     A_V =     0.000
!
!  "MAGNITUDES" m AT THE STELLAR SURFACE
!  (distance modulus factor not included)
!
!  ABSOLUTE MAGNITUDES: M_m = m - 5logR(pc) + 5
!
! Type of calibration used: Vega
! Using recent Calspec Alpha Lyrea STIS spectrum:
! ftp://ftp.stsci.edu/cdbs/current_calspec/
!
! Unless mentioned otherwise below, we calculate:
! Pogson magnitudes resulting from photon count integration (caracteristic of CCDs)
!
!  GAIA filter system
!
!        Teff    Logg   [M/H]   [a/H]           F33        F33B         F41        F45B         F47         F51         FHa         F57        F63B         F67         F75         F78         F82        F82B         F89       G_RSV           G        G_BP        G_RP
      5777.00    4.44    0.00    0.00       -37.642     -37.642     -37.555     -37.884     -38.015     -38.229     -38.883     -38.552     -38.710     -38.898     -39.059     -39.122     -39.186     -39.147     -39.226     -39.237     -38.590     -38.256     -39.085
      1200.00    2.50    0.00    0.00       -16.721     -16.721     -18.494     -20.466     -20.936     -21.071     -25.871     -21.835     -25.439     -26.375     -26.745     -27.176     -28.847     -28.740     -30.029     -29.620     -27.142     -22.402     -28.784
      1200.00    3.00    0.00    0.00       -17.450     -17.450     -19.203     -21.028     -21.708     -21.100     -25.648     -21.582     -25.313     -26.258     -26.545     -27.101     -29.060     -29.099     -30.541     -30.057     -27.520     -22.148     -29.208
      1200.00    3.50    0.00    0.00       -17.931     -17.931     -19.653     -21.413     -22.234     -20.950     -24.969     -20.966     -24.738     -25.697     -26.144     -26.912     -28.984     -29.281     -30.913     -30.227     -27.787     -21.971     -29.528
      1200.00    4.00    0.00    0.00       -18.028     -18.028     -19.716     -21.485     -22.353     -20.832     -24.662     -20.698     -24.445     -25.412     -26.038     -26.837     -28.838     -29.266     -30.969     -30.192     -27.836     -21.979     -29.596
      1200.00    4.50    0.00    0.00       -18.972     -18.972     -20.710     -22.287     -23.118     -21.600     -24.918     -21.007     -24.699     -25.660     -26.220     -26.990     -29.002     -29.375     -31.016     -30.404     -27.888     -22.400     -29.632
      1200.00    5.00    0.00    0.00       -18.114     -18.114     -19.788     -21.506     -22.427     -20.543     -24.140     -20.227     -23.951     -24.922     -25.643     -26.484     -28.410     -28.981     -30.786     -29.832     -27.809     -22.092     -29.613
      1200.00    5.50    0.00    0.00       -18.460     -18.460     -20.105     -21.836     -22.788     -20.645     -23.565     -19.804     -23.407     -24.388     -25.420     -26.248     -28.079     -28.815     -30.715     -29.538     -27.839     -22.320     -29.670
      1300.00    2.50    0.00    0.00       -17.168     -17.168     -19.006     -21.114     -21.311     -22.147     -26.664     -23.069     -26.151     -27.066     -27.659     -28.074     -29.284     -29.118     -30.265     -29.833     -27.540     -23.585     -29.139
      1300.00    3.00    0.00    0.00       -17.854     -17.854     -19.602     -21.567     -22.103     -22.038     -26.675     -22.676     -26.228     -27.163     -27.526     -27.966     -29.717     -29.589     -30.975     -30.220     -28.071     -23.337     -29.741
      1300.00    3.50    0.00    0.00       -18.214     -18.214     -19.996     -21.806     -22.419     -22.061     -26.580     -22.527     -26.197     -27.137     -27.434     -27.900     -29.769     -29.729     -31.109     -30.647     -28.159     -23.092     -29.830
      1300.00    4.00    0.00    0.00       -18.550     -18.550     -20.309     -22.038     -22.782     -21.867     -26.072     -22.037     -25.766     -26.714     -27.045     -27.652     -29.658     -29.783     -31.301     -30.741     -28.254     -22.758     -29.965
      1300.00    4.50    0.00    0.00       -19.081     -19.081     -20.888     -22.506     -23.216     -22.375     -26.441     -22.394     -26.125     -27.069     -27.300     -27.871     -29.877     -29.961     -31.427     -30.981     -28.410     -23.096     -30.106
      1300.00    5.00    0.00    0.00       -19.185     -19.185     -20.926     -22.601     -23.424     -22.085     -25.780     -21.800     -25.519     -26.474     -26.919     -27.634     -29.660     -29.966     -31.598     -30.936     -28.509     -22.922     -30.251
      1300.00    5.50    0.00    0.00       -19.223     -19.223     -20.875     -22.619     -23.544     -21.640     -24.892     -21.029     -24.650     -25.616     -26.439     -27.175     -29.017     -29.619     -31.436     -30.426     -28.392     -22.854     -30.185
      1400.00    3.00    0.00    0.00       -18.838     -18.838     -20.621     -22.587     -22.996     -23.292     -27.696     -23.930     -27.156     -28.074     -28.409     -28.861     -30.369     -30.182     -31.514     -30.624     -28.700     -24.595     -30.346
      1400.00    3.50    0.00    0.00       -19.091     -19.091     -20.894     -22.764     -23.228     -23.352     -27.762     -23.835     -27.255     -28.180     -28.498     -28.879     -30.481     -30.305     -31.606     -30.932     -28.797     -24.517     -30.439
      1400.00    4.00    0.00    0.00       -19.166     -19.166     -20.995     -22.774     -23.242     -23.334     -27.710     -23.746     -27.232     -28.161     -28.492     -28.830     -30.447     -30.298     -31.534     -31.157     -28.731     -24.366     -30.355
      1400.00    4.50    0.00    0.00       -19.425     -19.425     -21.242     -22.918     -23.537     -23.103     -27.337     -23.300     -26.931     -27.867     -28.118     -28.536     -30.380     -30.329     -31.687     -31.273     -28.770     -23.931     -30.433
      1400.00    5.00    0.00    0.00       -19.651     -19.651     -21.458     -23.119     -23.759     -23.241     -27.376     -23.325     -26.983     -27.920     -28.161     -28.586     -30.464     -30.435     -31.808     -31.407     -28.881     -23.990     -30.549
      1400.00    5.50    0.00    0.00       -19.832     -19.832     -21.524     -23.253     -24.117     -22.600     -26.052     -22.145     -25.748     -26.701     -27.341     -27.972     -29.864     -30.244     -31.923     -31.157     -28.849     -23.488     -30.603
      1500.00    2.50    0.00    0.00       -19.032     -19.032     -20.661     -22.649     -22.665     -23.916     -27.411     -25.473     -26.947     -27.732     -28.777     -29.221     -29.945     -29.829     -30.891     -30.285     -28.266     -25.107     -29.832
      1500.00    3.00    0.00    0.00       -17.352     -17.352     -19.331     -21.535     -21.469     -22.926     -26.835     -24.842     -26.416     -27.222     -28.368     -28.802     -29.380     -29.300     -30.241     -29.905     -27.706     -24.432     -29.254
      1500.00    3.50    0.00    0.00       -17.258     -17.258     -19.278     -21.509     -21.424     -22.921     -26.846     -24.882     -26.430     -27.232     -28.398     -28.833     -29.361     -29.289     -30.192     -29.907     -27.688     -24.449     -29.226
      1500.00    4.00    0.00    0.00       -19.257     -19.257     -21.145     -23.219     -23.232     -24.471     -28.246     -25.640     -27.740     -28.594     -29.509     -29.749     -30.570     -30.433     -31.367     -31.096     -28.849     -25.626     -30.379
      1500.00    4.50    0.00    0.00       -19.611     -19.611     -21.466     -23.470     -23.585     -24.591     -28.450     -25.278     -27.916     -28.808     -29.574     -29.768     -30.805     -30.643     -31.641     -31.376     -29.065     -25.594     -30.617
      1500.00    5.00    0.00    0.00       -20.049     -20.049     -21.864     -23.630     -24.115     -24.173     -28.154     -24.229     -27.677     -28.605     -29.014     -29.256     -30.839     -30.700     -31.911     -31.596     -29.135     -24.895     -30.752
      1500.00    5.50    0.00    0.00       -20.388     -20.388     -22.168     -23.888     -24.550     -23.998     -27.834     -23.892     -27.438     -28.374     -28.755     -29.090     -30.849     -30.789     -32.113     -31.744     -29.229     -24.617     -30.883
      1550.00    5.00    0.00    0.00       -19.841     -19.841     -21.673     -23.611     -23.813     -24.619     -28.507     -25.070     -27.973     -28.879     -29.557     -29.743     -30.920     -30.751     -31.800     -31.527     -29.178     -25.527     -30.745
      1550.00    5.50    0.00    0.00       -20.454     -20.454     -22.254     -24.026     -24.546     -24.507     -28.380     -24.536     -27.906     -28.832     -29.278     -29.511     -31.058     -30.916     -32.115     -31.804     -29.350     -25.184     -30.963
      1600.00    2.50    0.00    0.00       -20.209     -20.209     -21.538     -23.526     -23.581     -24.742     -28.031     -26.105     -27.547     -28.327     -29.320     -29.836     -30.715     -30.559     -31.725     -30.883     -29.016     -25.784     -30.610
      1600.00    3.00    0.00    0.00       -17.946     -17.946     -19.722     -21.832     -21.838     -23.142     -26.904     -24.911     -26.475     -27.281     -28.422     -28.889     -29.568     -29.472     -30.514     -30.003     -27.898     -24.525     -29.474
      1600.00    3.50    0.00    0.00       -16.700     -16.700     -18.747     -21.036     -20.932     -22.472     -26.550     -24.512     -26.144     -26.963     -28.173     -28.639     -29.205     -29.142     -30.105     -29.773     -27.546     -24.101     -29.110
      1600.00    4.00    0.00    0.00       -19.551     -19.551     -21.386     -23.461     -23.483     -24.714     -28.376     -25.975     -27.879     -28.715     -29.674     -29.934     -30.741     -30.605     -31.565     -31.212     -29.028     -25.853     -30.565
      1600.00    4.50    0.00    0.00       -19.811     -19.811     -21.681     -23.708     -23.782     -24.887     -28.628     -25.805     -28.099     -28.967     -29.804     -30.016     -30.930     -30.779     -31.743     -31.457     -29.206     -25.932     -30.744
      1600.00    5.00    0.00    0.00       -20.028     -20.028     -21.873     -23.823     -23.979     -24.890     -28.691     -25.440     -28.149     -29.044     -29.767     -29.945     -31.021     -30.851     -31.850     -31.594     -29.276     -25.807     -30.826
      1600.00    5.50    0.00    0.00       -20.513     -20.513     -22.317     -24.154     -24.596     -24.807     -28.637     -24.985     -28.130     -29.047     -29.577     -29.779     -31.175     -31.014     -32.154     -31.849     -29.451     -25.544     -31.044
      1650.00    5.00    0.00    0.00       -20.202     -20.202     -22.053     -24.011     -24.153     -25.098     -28.846     -25.718     -28.302     -29.190     -29.935     -30.114     -31.152     -30.986     -31.979     -31.705     -29.416     -26.023     -30.963
      1650.00    5.50    0.00    0.00       -20.653     -20.653     -22.419     -24.306     -24.765     -24.936     -28.702     -24.973     -28.184     -29.104     -29.638     -29.842     -31.314     -31.160     -32.345     -31.985     -29.604     -25.612     -31.212
