!  STARS, BROWN DWARFS, AND GAS GIANT PLANETS COLORS
!  
!  E(B-V) =     0.000
!     A_V =     0.000
!
!  "MAGNITUDES" m AT THE STELLAR SURFACE
!  (distance modulus factor not included)
!
!  ABSOLUTE MAGNITUDES: M_m = m - 5logR(pc) + 5
!
! Type of calibration used: Vega
! Using recent Calspec Alpha Lyrea STIS spectrum:
! ftp://ftp.stsci.edu/cdbs/current_calspec/
!
! Unless mentioned otherwise below, we calculate:
! Pogson magnitudes resulting from photon count integration (caracteristic of CCDs)
!
!  WISE filter system
!
!        Teff    Logg   [M/H]   [a/H]        W1_W10      W2_W10      W3_W10      W4_W10
      5777.00    4.44    0.00    0.00       -39.955     -39.939     -39.976     -39.981
      1200.00    2.50    0.00    0.00       -35.970     -35.999     -37.515     -37.655
      1200.00    3.00    0.00    0.00       -36.025     -36.018     -37.536     -37.703
      1200.00    3.50    0.00    0.00       -35.763     -35.946     -37.478     -37.688
      1200.00    4.00    0.00    0.00       -35.627     -36.056     -37.516     -37.723
      1200.00    4.50    0.00    0.00       -35.477     -36.093     -37.522     -37.687
      1200.00    5.00    0.00    0.00       -35.208     -36.115     -37.436     -37.671
      1200.00    5.50    0.00    0.00       -35.033     -36.189     -37.356     -37.553
      1300.00    2.50    0.00    0.00       -36.168     -36.278     -37.675     -37.766
      1300.00    3.00    0.00    0.00       -36.310     -36.375     -37.729     -37.843
      1300.00    3.50    0.00    0.00       -36.319     -36.420     -37.729     -37.875
      1300.00    4.00    0.00    0.00       -36.067     -36.298     -37.656     -37.817
      1300.00    4.50    0.00    0.00       -35.980     -36.320     -37.661     -37.799
      1300.00    5.00    0.00    0.00       -35.537     -36.170     -37.519     -37.642
      1300.00    5.50    0.00    0.00       -35.541     -36.424     -37.558     -37.710
      1400.00    3.00    0.00    0.00       -36.544     -36.706     -37.870     -37.995
      1400.00    3.50    0.00    0.00       -36.606     -36.607     -37.852     -37.933
      1400.00    4.00    0.00    0.00       -36.431     -36.670     -37.861     -37.950
      1400.00    4.50    0.00    0.00       -36.444     -36.667     -37.840     -37.947
      1400.00    5.00    0.00    0.00       -36.203     -36.474     -37.745     -37.791
      1400.00    5.50    0.00    0.00       -35.991     -36.644     -37.723     -37.833
      1500.00    2.50    0.00    0.00       -36.564     -37.011     -38.003     -38.232
      1500.00    3.00    0.00    0.00       -36.792     -37.361     -38.272     -38.470
