AWI00008jh,J015317.94-461421.9
AWI00062ic,J030854.20-185809.1
AWI0000xcq,J033421.19+564343.6
AWI0005wdi,J051604.02+061852.6
AWI0005wgp,J053224.00-050523.4
AWI0005wgs,J053225.66-034313.6
AWI0005wj7,J053525.11-064756.5
AWI0005wjy,J053552.02-061001.6
AWI0005wku,J053628.55+000445.6
AWI0005wmu,J053805.25-011521.6
AWI0005wnn,J053827.67-065453.6
AWI0005wsf,J054214.29-075835.1
AWI00043e8,J113252.86-652033.1
AWI0005b5k,J162224.95-232955.1
AWI00025ny,J162418.65-431516.5
AWI0005b80,J162932.66-254329.3
AWI00005ko,J165920.60+131219.3
AWI0005bk4,J172944.28-061340.5
AWI0002lxd,J182016.88-031207.4
AWI0002lxl,J182032.53-022049.6
AWI0002001,J182717.07-041838.0
AWI0002apf,J182750.65-022407.4
AWI0002m9o,J183311.41+025439.0
AWI0002b3p,J184748.57+080147.3
AWI0002b6k,J185211.39+102422.6
AWI00021py,J192343.53+230856.7
AWI0002o5q,J204109.10+521801.3
AWI0002o7p,J204909.99+543431.2
AWI000621m,J205952.30-153218.5
AWI0002o9g,J210805.95+570209.1
AWI0002coc,J213519.16+573638.1
AWI0002opj,J224952.84+654925.9
AWI0000jcg,J230112.67-585821.9
AWI0002d1k,J235734.08+662553.7
