   Teff,Logg,      G,      B,      V,      u,      g,      r,      i,      z,      J,      H,      K, W1_W10, W2_W10, W3_W10, W4_W10
5777,4.44,-38.59,-37.841,-38.457,-36.826,-38.108,-38.586,-38.699,-38.714,-39.567,-39.88,-39.952,-39.955,-39.939,-39.976,-39.981
1200,2.5,-27.142,-20.315,-21.012,-17.506,-20.8,-24.426,-26.918,-29.485,-32.375,-33.929,-35.026,-35.97,-35.999,-37.515,-37.655
1200,3,-27.52,-20.975,-20.334,-16.931,-21.308,-24.183,-26.793,-29.982,-32.845,-34.332,-35.169,-36.025,-36.018,-37.536,-37.703
1200,3.5,-27.787,-21.431,-19.401,-16.547,-21.672,-23.503,-26.305,-30.355,-33.28,-34.566,-35.012,-35.763,-35.946,-37.478,-37.688
1200,4,-27.836,-21.523,-19.213,-16.699,-21.74,-23.189,-26.09,-30.432,-33.381,-34.581,-34.974,-35.627,-36.056,-37.516,-37.723
1200,4.5,-27.888,-22.331,-19.639,-17.966,-22.532,-23.462,-26.302,-30.464,-33.293,-34.549,-34.983,-35.477,-36.093,-37.522,-37.687
1200,5,-27.809,-21.576,-18.652,-16.791,-21.751,-22.644,-25.651,-30.459,-33.757,-34.503,-34.664,-35.208,-36.115,-37.436,-37.671
1200,5.5,-27.839,-21.93,-18.189,-17.013,-22.076,-22.051,-25.227,-30.526,-33.991,-34.434,-34.445,-35.033,-36.189,-37.356,-37.553
1300,2.5,-27.54,-20.869,-22.722,-19.157,-21.576,-25.334,-27.661,-29.75,-32.719,-34.179,-35.275,-36.168,-36.278,-37.675,-37.766
1300,3,-28.071,-21.455,-21.949,-18.374,-21.892,-25.238,-27.663,-30.452,-33.387,-34.537,-35.436,-36.31,-36.375,-37.729,-37.843
1300,3.5,-28.159,-21.73,-21.524,-18,-22.101,-25.124,-27.653,-30.57,-33.343,-34.756,-35.566,-36.319,-36.42,-37.729,-37.875
1300,4,-28.254,-22.026,-20.773,-17.63,-22.305,-24.611,-27.264,-30.756,-33.538,-34.848,-35.455,-36.067,-36.298,-37.656,-37.817
1300,4.5,-28.41,-22.488,-21.152,-18.169,-22.77,-24.978,-27.569,-30.885,-33.575,-34.884,-35.5,-35.98,-36.32,-37.661,-37.799
