Teff,Logg,G2018,G2018_BP,G2018_RP,J,H,K,W1_W10,W2_W10,W3_W10,W4_W10
5777.00,4.44,-38.580,-38.257,-39.065,-39.567,-39.880,-39.952,-39.955,-39.939,-39.976,-39.981
1200.00,3.50,-27.962,-21.601,-29.437,-33.280,-34.566,-35.012,-35.763,-35.946,-37.478,-37.688
1200.00,4.50,-28.059,-22.170,-29.542,-33.293,-34.549,-34.983,-35.477,-36.093,-37.522,-37.687
1300.00,2.50,-27.650,-23.583,-29.051,-32.719,-34.179,-35.275,-36.168,-36.278,-37.675,-37.766
1300.00,3.00,-28.213,-23.266,-29.652,-33.387,-34.537,-35.436,-36.310,-36.375,-37.729,-37.843
1300.00,3.50,-28.291,-23.019,-29.738,-33.343,-34.756,-35.566,-36.319,-36.420,-37.729,-37.875
1300.00,4.00,-28.405,-22.581,-29.874,-33.538,-34.848,-35.455,-36.067,-36.298,-37.656,-37.817
1300.00,4.50,-28.550,-22.977,-30.015,-33.575,-34.884,-35.500,-35.980,-36.320,-37.661,-37.799
1300.00,5.00,-28.679,-22.680,-30.164,-33.852,-34.986,-35.275,-35.537,-36.170,-37.519,-37.642
1300.00,5.50,-28.611,-22.473,-30.107,-34.078,-34.945,-35.051,-35.541,-36.424,-37.558,-37.710
1400.00,3.00,-28.838,-24.567,-30.261,-34.033,-34.959,-35.774,-36.544,-36.706,-37.870,-37.995
1400.00,3.50,-28.925,-24.494,-30.353,-34.001,-35.051,-35.858,-36.606,-36.607,-37.852,-37.933
1400.00,4.00,-28.842,-24.362,-30.266,-33.681,-35.033,-35.884,-36.431,-36.670,-37.861,-37.950
1400.00,4.50,-28.895,-23.889,-30.342,-33.794,-35.116,-35.858,-36.444,-36.667,-37.840,-37.947
1400.00,5.00,-29.008,-23.941,-30.458,-33.927,-35.190,-35.850,-36.203,-36.474,-37.745,-37.791
1400.00,5.50,-29.029,-23.280,-30.520,-34.248,-35.257,-35.552,-35.991,-36.644,-37.723,-37.833
1500.00,2.50,-28.375,-25.102,-29.746,-33.649,-34.729,-35.652,-36.564,-37.011,-38.003,-38.232
1500.00,3.00,-27.799,-24.431,-29.170,-32.988,-34.540,-35.658,-36.792,-37.361,-38.272,-38.470
1500.00,3.50,-27.775,-24.450,-29.143,-32.808,-34.490,-35.723,-37.029,-37.575,-38.340,-38.538
1500.00,4.00,-28.929,-25.636,-30.296,-33.661,-35.095,-36.145,-37.157,-37.418,-38.243,-38.294
1500.00,4.50,-29.150,-25.608,-30.532,-33.841,-35.214,-36.155,-37.012,-37.176,-38.147,-38.142
1500.00,5.00,-29.241,-24.895,-30.663,-34.028,-35.311,-36.119,-36.682,-36.821,-37.950,-37.959
1550.00,5.00,-29.267,-25.541,-30.659,-33.970,-35.312,-36.226,-37.081,-37.219,-38.137,-38.138
1550.00,5.50,-29.453,-25.186,-30.874,-34.188,-35.433,-36.264,-36.870,-37.118,-38.058,-38.083
1600.00,2.50,-29.140,-25.775,-30.522,-34.490,-35.333,-36.095,-36.778,-37.144,-38.048,-38.250
1600.00,3.00,-28.006,-24.518,-29.388,-33.361,-34.759,-35.887,-37.001,-37.487,-38.279,-38.470
1600.00,3.50,-27.644,-24.096,-29.026,-33.014,-34.838,-36.128,-37.215,-37.664,-38.351,-38.551
1600.00,4.00,-29.114,-25.859,-30.483,-34.005,-35.320,-36.353,-37.300,-37.550,-38.298,-38.363
1600.00,4.50,-29.288,-25.944,-30.661,-34.048,-35.435,-36.425,-37.304,-37.423,-38.230,-38.248
1600.00,5.00,-29.360,-25.823,-30.741,-33.998,-35.345,-36.311,-37.206,-37.335,-38.189,-38.196
1600.00,5.50,-29.548,-25.553,-30.957,-34.250,-35.490,-36.342,-37.059,-37.267,-38.145,-38.173
1650.00,5.00,-29.500,-26.037,-30.879,-34.205,-35.561,-36.549,-37.401,-37.467,-38.233,-38.248
1650.00,5.50,-29.706,-25.618,-31.126,-34.490,-35.655,-36.412,-37.042,-37.222,-38.117,-38.118
1700.00,2.50,-27.420,-23.027,-28.835,-33.589,-34.996,-36.039,-36.926,-37.384,-38.080,-38.305
1700.00,3.00,-27.986,-23.982,-29.392,-34.055,-35.510,-36.483,-37.233,-37.646,-38.301,-38.503
1700.00,3.50,-28.048,-24.247,-29.444,-34.071,-35.604,-36.543,-37.315,-37.713,-38.363,-38.560
1700.00,4.00,-29.116,-25.862,-30.488,-34.478,-35.875,-36.719,-37.387,-37.662,-38.358,-38.456
1700.00,4.50,-29.499,-26.108,-30.880,-34.546,-35.807,-36.666,-37.376,-37.488,-38.259,-38.285
