!  STARS, BROWN DWARFS, AND GAS GIANT PLANETS COLORS
!  
!  E(B-V) =     0.000
!     A_V =     0.000
!
!  "MAGNITUDES" m AT THE STELLAR SURFACE
!  (distance modulus factor not included)
!
!  ABSOLUTE MAGNITUDES: M_m = m - 5logR(pc) + 5
!
! Type of calibration used: AB
!
! Unless mentioned otherwise below, we calculate:
! Pogson magnitudes resulting from photon count integration (caracteristic of CCDs)
!
! Note that absolute magnitudes are calculated from the model atmosphere fluxes as Pogson magnitudes, while observed SDSS photometry is provided as Asinh magnitudes.
! To obtain apparent magnitudes at a distance from the isochrones, the absolute magnitudes have to be converted to flux ratios,
! scaled to the distance and converted back as Asinh magnitudes, e.g. for a distance modulus D= 0.2 log10(d/10 pc) compute f/f0= 10**(-0.4*(M+D))
! m= -2.5/ln(10) * [asinh([f/f0]/[2b]) + ln(b)] where b is the appropriate asinh softening parameter (cf. table at
! http://www.sdss.org/dr12/algorithms/magnitudes/#asinh), i.e.
! b(u)= 1.4e-10, b(g)= 0.9e-10, b(r)= 1.2e-10, b(i)= 1.8e-10, b(z)= 7.4e-10
!
!  SDSS with airmass=1.3 filter system (Doi et al. 2010) filter system
!
!        Teff    Logg   [M/H]   [a/H]             u           g           r           i           z          u1          u2          u3          u4          u5          u6          g1          g2          g3          g4          g5          g6          r1          r2          r3          r4          r5          r6          i1          i2          i3          i4          i5          i6          z1          z2          z3          z4          z5          z6
      5777.00    4.44    0.00    0.00       -36.826     -38.108     -38.586     -38.699     -38.714     -36.825     -36.816     -36.835     -36.831     -36.820     -36.834     -38.105     -38.100     -38.111     -38.110     -38.110     -38.110     -38.588     -38.587     -38.584     -38.587     -38.586     -38.587     -38.699     -38.699     -38.699     -38.699     -38.699     -38.699     -38.713     -38.715     -38.714     -38.714     -38.713     -38.713
      1200.00    2.50    0.00    0.00       -17.506     -20.800     -24.426     -26.918     -29.485     -18.133     -16.523     -18.464     -18.482     -17.628     -17.450     -20.793     -20.782     -20.810     -20.806     -20.801     -20.803     -24.478     -24.433     -24.401     -24.422     -24.413     -24.420     -26.937     -26.936     -26.934     -26.931     -26.937     -26.929     -29.462     -29.536     -29.496     -29.504     -29.466     -29.447
      1200.00    3.00    0.00    0.00       -16.931     -21.308     -24.183     -26.793     -29.982     -17.700     -16.170     -18.044     -17.991     -17.317     -17.131     -21.297     -21.290     -21.322     -21.316     -21.310     -21.313     -24.248     -24.190     -24.159     -24.176     -24.165     -24.173     -26.817     -26.811     -26.806     -26.804     -26.814     -26.804     -29.956     -30.039     -29.993     -30.003     -29.961     -29.941
      1200.00    3.50    0.00    0.00       -16.547     -21.672     -23.503     -26.305     -30.355     -17.182     -16.132     -17.484     -17.397     -16.915     -16.804     -21.657     -21.653     -21.688     -21.680     -21.674     -21.677     -23.580     -23.511     -23.481     -23.493     -23.481     -23.489     -26.332     -26.322     -26.315     -26.313     -26.328     -26.313     -30.323     -30.429     -30.370     -30.383     -30.327     -30.303
      1200.00    4.00    0.00    0.00       -16.699     -21.740     -23.189     -26.090     -30.432     -17.184     -16.292     -17.449     -17.402     -16.899     -16.827     -21.725     -21.721     -21.757     -21.749     -21.743     -21.746     -23.263     -23.197     -23.167     -23.180     -23.167     -23.176     -26.116     -26.108     -26.101     -26.098     -26.112     -26.097     -30.397     -30.513     -30.449     -30.463     -30.399     -30.374
      1200.00    4.50    0.00    0.00       -17.966     -22.532     -23.462     -26.302     -30.464     -18.181     -17.779     -18.338     -18.300     -18.016     -18.034     -22.517     -22.514     -22.549     -22.541     -22.535     -22.538     -23.539     -23.470     -23.440     -23.452     -23.440     -23.448     -26.329     -26.319     -26.313     -26.310     -26.325     -26.310     -30.432     -30.535     -30.479     -30.491     -30.437     -30.415
      1200.00    5.00    0.00    0.00       -16.791     -21.751     -22.644     -25.651     -30.459     -17.109     -16.511     -17.313     -17.282     -16.887     -16.863     -21.734     -21.732     -21.769     -21.760     -21.755     -21.758     -22.717     -22.652     -22.622     -22.635     -22.623     -22.632     -25.676     -25.669     -25.663     -25.660     -25.673     -25.658     -30.412     -30.574     -30.488     -30.499     -30.410     -30.376
      1200.00    5.50    0.00    0.00       -17.013     -22.076     -22.051     -25.227     -30.526     -17.194     -16.770     -17.348     -17.341     -17.005     -17.020     -22.058     -22.057     -22.094     -22.085     -22.081     -22.083     -22.122     -22.058     -22.028     -22.041     -22.029     -22.038     -25.249     -25.245     -25.240     -25.234     -25.247     -25.232     -30.472     -30.662     -30.563     -30.572     -30.467     -30.425
      1300.00    2.50    0.00    0.00       -19.157     -21.576     -25.334     -27.661     -29.750     -19.374     -18.311     -19.654     -19.736     -19.016     -18.924     -21.576     -21.560     -21.580     -21.580     -21.581     -21.580     -25.369     -25.340     -25.308     -25.332     -25.325     -25.332     -27.674     -27.679     -27.678     -27.673     -27.676     -27.670     -29.728     -29.805     -29.762     -29.771     -29.729     -29.711
      1300.00    3.00    0.00    0.00       -18.374     -21.892     -25.238     -27.663     -30.452     -18.940     -17.426     -19.270     -19.292     -18.469     -18.303     -21.884     -21.874     -21.903     -21.899     -21.894     -21.896     -25.287     -25.245     -25.213     -25.234     -25.225     -25.233     -27.685     -27.681     -27.678     -27.674     -27.683     -27.674     -30.427     -30.521     -30.464     -30.478     -30.423     -30.402
