Zooniverse ID,HD Number,WISE ID,SpType,Btmag,Bterr,Vtmag,Vterr,Bt-Vt,,Bmag,Berr,Vmag,Verr,Gmag,Gmagerr,Rmag,Rmagerr,Imag,Imagerr,gmag,gmagerr,rmag,rmagerr,imag,imagerr,Jmag,Jmagerr,w4xs,w4xs_err,Notes,,W1mag,W1err,W1cormag,dW1cor/dW1mag,W1corerr,W4mag,W4err,W4new,W4new_err,W4use,W4use_err,,,,,,,,,,,
AWI0000gib,1777,J002133.47-661816.6,A0V,7.378,0.015,7.362,0.01,0.016,0.018027756,,,,,7.393,0.001,,,,,,,,,,,7.365,0.027,0.563,0.071,,,7.356,0.027,7.356,1.0057624,0.027,6.793,0.066,,,6.793,0.066,,AWI0000gib,J002133.47-661816.6,7.365,,,,,,,
AWI0005mry,3051,J003412.66+540359.0,,7.725,0.015,7.609,0.01,0.116,0.018027756,,,,,7.612,0.01,,,,,,,,,,,7.350,0.019,0.465,0.083,,,7.346,0.049,7.346,1.0058084,0.049,6.881,0.067,,,6.881,0.067,,AWI0005mry,3051,J003412.66+540359.0,7.350,0.019,,,,,
AWI00062m4,      ,J004826.42+020753.0,,11.839,0.093,10.401,0.045,1.438,0.103315052,,,,,9.952,0.001,,,,,,,,,,,8.490,0.026,2.295,0.049,,,7.685,0.024,7.687,1.004249,0.024,5.392,0.043,,,5.392,0.043,,AWI00062m4,      ,J004826.42+020753.0,8.490,0.026,,,,,
AWI0005yiv,5741,J005926.26+400918.2,,7.74,0.015,7.554,0.01,0.186,0.018027756,,,,,7.524,0.001,,,,,,,,,,,7.170,0.018,0.488,0.062,,,7.14,0.031,7.139,1.006756,0.031,6.651,0.054,,,6.651,0.054,,AWI0005yiv,5741,J005926.26+400918.2,7.170,0.018,,,,,
AWI00055sx,6370,J010652.55+743754.5,,8.497,0.015,8.382,0.012,0.115,0.019209373,,,,,8.386,0.001,,,,,,,,,,,8.168,0.029,1.010,0.090,,,8.149,0.023,8.149,1,0.023,7.139,0.087,,,7.139,0.087,,AWI00055sx,6370,J010652.55+743754.5,8.168,0.029,,,,,
AWI00055sz,7406,J011636.23+740136.6,,7.101,0.015,7.055,0.01,0.046,0.018027756,,,,,6.963,0.001,,,,,,,,,,,6.764,0.056,0.641,0.055,,,6.603,0.039,6.597,1.0092262,0.039,5.956,0.038,,,5.956,0.038,,AWI00055sz,7406,J011636.23+740136.6,6.764,0.056,,,,,
AWI00062mq,,J011743.47-523330.8,F3Ve,11.39,0.058,10.808,0.053,0.582,0.078568442,,,,,10.746,0.001,,,,,,,,,,,10.01,0.024,6.243,0.030,,,8.687,0.022,8.687,1,0.022,2.444,0.02,,,2.444,0.02,,AWI00062mq,J011743.47-523330.8,10.01,,,,,,,
AWI0005w6c,8731,J012650.26+454038.8,,7.46,0.015,7.537,0.011,-0.077,0.018601075,,,,,,,,,,,,,,,,,7.596,0.020,1.006,0.078,,,7.625,0.025,7.626,1.004525,0.025,6.62,0.074,,,6.62,0.074,,AWI0005w6c,8731,J012650.26+454038.8,7.596,0.020,,,,,
AWI0004ne5,9590,J013525.89+560237.3,,7.087,0.015,7.023,0.01,0.064,0.018027756,,,,,,,,,,,,,,,,,6.791,0.018,0.706,0.060,,,6.816,0.036,6.812,1.0082464,0.036,6.106,0.048,,,6.106,0.048,,AWI0004ne5,9590,J013525.89+560237.3,6.791,0.018,,,,,
AWI00062a8,9985,J013756.15+211539.9,,8.078,0.016,7.965,0.012,0.113,0.02,,,,,7.984,0.001,,,,,,,,,,,7.824,0.018,2.023,0.045,,,7.782,0.024,7.784,1.0038028,0.024,5.761,0.038,,,5.761,0.038,,AWI00062a8,9985,J013756.15+211539.9,7.824,0.018,,,,,
AWI0005aeg,      ,J013833.77+780834.3,,10.256,0.028,9.826,0.026,0.43,0.038209946,,,,,9.642,0.003,,,,,,,,,,,8.915,0.030,1.234,0.067,,,8.187,0.023,8.187,1,0.023,6.953,0.063,,,6.953,0.063,,AWI0005aeg,      ,J013833.77+780834.3,8.915,0.030,,,,,
AWI0000nxi,10324,J014113.00+163051.7,,8.884,0.019,8.543,0.015,0.341,0.024207437,,,,,,,,,,,,,,,,,7.894,0.021,1.432,0.060,,,7.707,0.024,7.709,1.0041478,0.024,6.277,0.055,,,6.277,0.055,,AWI0000nxi,10324,J014113.00+163051.7,7.894,0.021,,,,,
AWI0005zx4,11085,J014928.21+244048.7,,8.462,0.017,8.325,0.014,0.137,0.022022716,,,,,8.291,0.001,,,,,,,,,,,8.013,0.019,0.666,0.108,,,7.903,0.024,7.905,1.0032462,0.024,7.239,0.105,,,7.239,0.105,,AWI0005zx4,11085,J014928.21+244048.7,8.013,0.019,,,,,
AWI00062aj,12445,J020221.16+192323.6,,8.558,0.018,8.417,0.014,0.141,0.022803509,,,,,8.386,0.003,,,,,,,,,,,8.090,0.024,0.942,0.099,,,8.013,0.023,8.013,1,0.023,7.071,0.096,,,7.071,0.096,,AWI00062aj,12445,J020221.16+192323.6,8.090,0.024,,,,,
AWI0005w6v,13563,J021327.01+421923.3,,9.486,0.02,9.152,0.018,0.334,0.026907248,,,,,9.15,0.001,,,,,,,,,,,8.701,0.018,1.588,0.111,,,8.58,0.024,8.580,1,0.024,6.992,0.108,,,6.992,0.108,,AWI0005w6v,13563,J021327.01+421923.3,8.701,0.018,,,,,
