<<<<<<< HEAD
Zooniverse ID,HD Number,WISE ID,SpType,Btmag,Bterr,Vtmag,Vterr,Bt-Vt,,Bmag,Berr,Vmag,Verr,Gmag,Gmagerr,Jmag,Jmagerr,w4xs,w4xs_err,Notes,,W1mag,W1err,W1cormag,dW1cor/dW1mag,W1corerr,W4mag,W4err,W4new,W4new_err,W4use,W4use_err,,,,,,,,,,,
AWI0005w77,      ,J023720.84+395345.8,,6.409,0.014,6.522,0.01,-0.113,,6.43,0.02,6.54,0.01,,,6.679,0.023,1.082,0.056,,,6.844,0.037,6.840,1.0081176,0.037,5.758,0.042,,,5.758,0.042,,AWI0005w77,      ,J023720.84+395345.8,6.679,0.023,,,,,
AWI00062kw,220529,J232421.82+061110.7,A0,7.07,0.01,7.17,0.01,-0.1,,7.09,0.02,7.18,0.01,,,7.285,0.018,1.240,0.072,,,7.404,0.028,7.404,1.0055416,0.028,6.164,0.066,,,6.164,0.066,,AWI00062kw,J232421.82+061110.7,7.285,,,,,,,
AWI0005zil,,J055417.57-383951.1,,11.7,0.08,11.79,0.15,-0.09,,11.72,0.22,11.8,0.15,11.67,0.008,11.312,0.024,3.858,0.048,,,10.067,0.024,10.067,1,0.024,6.209,0.042,,,6.209,0.042,,AWI0005zil,J055417.57-383951.1,11.312,,,,,,,
AWI00062gz,223167,J234708.47+153903.2,A0,8.57,0.02,8.65,0.01,-0.08,,8.59,0.02,8.66,0.01,,,8.712,0.023,1.725,0.078,,,8.614,0.024,8.614,1,0.024,6.889,0.074,,,6.889,0.074,,AWI00062gz,J234708.47+153903.2,8.712,,,,,,,
AWI0006207,195805,J203711.08-650159.9,B8/9V,6.62,0.01,6.69,0.01,-0.07,,6.63,0.02,6.7,0.01,,,6.755,0.026,0.470,0.069,,,6.744,0.037,6.740,1.0085776,0.037,6.27,0.058,,,6.27,0.058,,AWI0006207,J203711.08-650159.9,6.755,,,,,,,
AWI0005w6c,8731,J012650.26+454038.8,,7.48,0.01,7.55,0.01,-0.07,,7.49,0.02,7.56,0.01,,,7.596,0.020,1.006,0.078,,,7.625,0.025,7.626,1.004525,0.025,6.62,0.074,,,6.62,0.074,,AWI0005w6c,8731,J012650.26+454038.8,7.596,0.020,,,,,
AWI0005cwg,98457,J111925.92-301922.9,ApSi,7.88,0.01,7.94,0.01,-0.06,,7.89,0.02,7.95,0.01,7.974,0.004,7.989,0.030,1.940,0.070,,,8.031,0.023,8.031,1,0.023,6.091,0.066,,,6.091,0.066,,AWI0005cwg,J111925.92-301922.9,7.989,,,,,,,
AWI0000ns8,208612,J215739.35-083351.4,,6.74,0.01,6.8,0.01,-0.06,,6.75,0.02,6.81,0.01,,,6.837,0.024,1.316,0.055,,,6.672,0.04,6.667,1.0089088,0.040,5.351,0.038,,,5.351,0.038,,AWI0000ns8,208612,J215739.35-083351.4,6.837,0.024,,,,,
AWI0000phs,207888,J215221.25-031028.9,,6.55,0.01,6.6,0.01,-0.05,,6.56,0.02,6.61,0.01,,,6.688,0.026,1.139,0.057,,,6.689,0.036,6.684,1.0088306,0.036,5.483,0.041,5.544745,0.043407854,5.544745,0.043407854,,AWI0000phs,207888,J215221.25-031028.9,6.688,0.026,,,,,
AWI0000tjx,141268,J154709.73+303356.0,,7.74,0.01,7.78,0.01,-0.04,,7.75,0.02,7.79,0.01,,,7.852,0.018,0.665,0.081,,,7.891,0.022,7.893,1.0033014,0.022,7.228,0.078,,,7.228,0.078,,AWI0000tjx,141268,J154709.73+303356.0,7.852,0.018,,,,,
