ZooniverseID,WISEID,Teff,Tefferrlow,Tefferrhigh,logg,loggerrlow,loggerrhigh,rdstar,rdstarerrlow,rdstarerrhigh,Tdisk,Tdiskerrlow,Tdiskerrhigh,xdisk,xdiskerrlow,xdiskerrhigh,fir,firerrlow,firerrhigh
AWI0001q7h,J221158.73+594044.9,3800.0,None,None,2.5,None,None,7.72958239412e-11,2.59922074237e-13,2.6325530752e-13,447.94783275,4.24738335672,4.66360716788,6.90130927314e-18,2.7689680273e-19,2.68261161708e-19,0.223142338249,0.00390018936262,0.00375235286684
AWI00019i2,J221055.01+575629.4,8817.85637476,53.5003195279,55.8012306997,None,None,None,3.12865036073e-10,3.10317864305e-12,2.95198180789e-12,258.93825429,19.4718125801,21.8588786548,1.09329209127e-17,2.61916964088e-18,3.37313755883e-18,8.3294987346e-05,7.78704313501e-06,8.48171458296e-06
AWI0001qsl,J053815.82+374440.5,10446.9816242,83.2727254354,84.4599302275,None,None,None,2.32783035596e-10,2.51398460037e-12,2.53051585688e-12,862.898247266,49.9882111024,49.2681480163,1.42480824617e-18,1.45489659366e-19,1.7594986746e-19,0.00122263919371,0.000142553821934,0.000158455573033
AWI00018m1,J194022.79+251648.4,4900.0,None,None,5.5,None,None,2.9640209071e-10,1.90440566621e-12,1.81791066471e-12,1073.56389372,22.9040204588,23.1937581286,1.97501755653e-18,8.55280586001e-20,9.1142920176e-20,0.051768660362,0.00282072380373,0.00296542026198
AWI00021on,J192136.46+220744.7,4000.0,None,None,2.5,None,None,1.18691782986e-10,3.00470521763e-13,2.98130376598e-13,678.26906665,16.0427912186,16.592482069,5.68158685205e-19,3.62881182908e-20,3.95181203873e-20,0.0333794488715,0.001386542388,0.001373612931
AWI00062h7,J002133.47-661816.6,11697.82726,111.188748506,116.380640816,None,None,None,2.14130630658e-10,2.30650335864e-12,2.33601374565e-12,215.12187429,25.2719445228,27.4512056836,1.12898640293e-17,4.28509496017e-18,6.86456206817e-18,2.80529025099e-05,3.4659293102e-06,3.74504518687e-06
AWI0000nfp,J002155.14-672715.9,4700.0,None,None,2.5,None,None,2.4923689559e-10,1.17600837031e-12,1.09988442387e-12,510.802317164,21.3127973458,20.8662790652,3.42884106892e-18,3.42667363011e-19,4.15816914477e-19,0.00771586529028,0.000525160262353,0.000528075275152
AWI0000bs0,J003140.76-014737.3,10307.7881685,63.3760810171,67.2529002102,None,None,None,2.91410207015e-10,2.50900148611e-12,2.35130458745e-12,201.035641078,10.7225526306,11.0873767803,5.03554663039e-17,1.02175583856e-17,1.23319359846e-17,8.56702884234e-05,5.39076857453e-06,5.23566014622e-06
AWI0005mry,J003412.66+540359.0,9678.17141334,70.8065675898,77.5370848751,None,None,None,2.49458936508e-10,2.5025458627e-12,2.39739956242e-12,46.9892459931,12.3732220622,28.5057685239,3.74794084466e-13,3.7292151178e-13,5.48851659761e-11,0.00331424283483,0.00320276984255,0.142061013701
AWI0000jvv,J003507.14+070625.0,3500.0,None,None,2.5,None,None,5.61924240438e-10,2.4788601597e-12,2.46018255461e-12,367.599050745,10.6847724318,11.5869747864,3.18379241226e-17,2.98201461779e-18,3.22825637687e-18,0.0122812094304,0.000433687925212,0.000468527836485
AWI00062m4,J004826.42+020753.0,4600.0,None,None,2.5,None,None,3.30541823714e-10,1.52272261779e-12,1.54204561352e-12,207.35927673,4.85403118351,5.05624946354,9.77724729764e-17,1.13156262439e-17,1.17843196385e-17,0.00368742788937,0.000138445226858,0.000136117483498
AWI0005yiv,J005926.26+400918.2,9167.4011496,55.6260694307,53.7517222362,None,None,None,2.77761531346e-10,1.87671141909e-12,2.06529212696e-12,62.9301674545,18.4913526989,34.3006873426,1.61447470711e-14,1.57569220792e-14,1.16814300057e-12,0.000461914879349,0.000396698911346,0.00797535869312
AWI00055sx,J010652.55+743754.5,10107.2078751,86.1535242079,86.9636533835,None,None,None,1.6387828697e-10,1.65736855742e-12,1.61528047268e-12,182.867313933,15.0984896135,15.8724632531,2.0219895089e-17,6.59762427075e-18,1.02045657485e-17,8.09205306422e-05,9.55832699648e-06,1.02132937362e-05
