ZooniverseID,WISEID,Teff,Teff_err_low,Teff_err_high,logg,logg_err_low,logg_err_high,rdstar,rdstar_err_low,rdstar_err_high,Tdisk,Tdisk_err_low,Tdisk_err_high,xdisk,xdisk_err_low,xdisk_err_high,fir,fir_err_low,fir_err_high
AWI0005di7,J165204.85+145827.2,12079.95034,118.4092789,118.5548125,None,None,None,3.08E-10,3.22E-12,3.34E-12,265.6754344,28.51656493,33.43595172,9.99E-18,3.39E-18,4.94E-18,2.49E-05,3.34E-06,3.28E-06
AWI0005dyy,J154709.73+303356.0,12701.75744,136.1517721,134.0775817,None,None,None,1.60E-10,1.79E-12,1.81E-12,165.0900477,27.57687146,22.59199493,2.22E-17,9.74E-18,2.89E-17,2.53E-05,3.95E-06,5.11E-06
AWI0000o39,J235746.21+112827.6,11072.78561,92.57820955,96.15997271,None,None,None,3.20E-10,3.16E-12,3.13E-12,199.3240777,29.59650046,28.17479245,2.49E-17,9.98E-18,2.17E-17,2.59E-05,3.54E-06,3.75E-06
AWI0006207,J203711.08-650159.9,12467.60888,132.6848525,136.2379311,None,None,None,2.71E-10,3.28E-12,3.05E-12,273.4598969,27.47752849,35.51558014,8.31E-18,2.97E-18,3.84E-18,2.63E-05,3.21E-06,3.42E-06
AWI0005ae4,J235449.26+742436.2,10236.80853,87.02368303,84.79813301,None,None,None,3.68E-10,3.78E-12,3.68E-12,165.3972255,46.56322834,35.67387157,5.05E-17,2.68E-17,1.83E-16,2.70E-05,3.72E-06,6.16E-06
AWI00062h7,J002133.47-661816.6,11697.46506,112.5900108,112.4564346,None,None,None,2.14E-10,2.26E-12,2.34E-12,215.7384988,24.25590647,26.93378894,1.12E-17,4.15E-18,6.53E-18,2.83E-05,3.64E-06,3.68E-06
AWI0005yn2,J044717.93+054717.4,10841.49865,96.50782849,98.48236015,None,None,None,3.12E-10,3.13E-12,3.18E-12,189.2984498,24.57858268,22.04723111,3.25E-17,1.13E-17,2.37E-17,3.14E-05,3.58E-06,3.69E-06
AWI00062l3,J235537.71+081323.7,11393.91084,109.4314333,112.7442824,None,None,None,2.85E-10,3.26E-12,3.23E-12,267.4977342,28.62156908,37.30213413,8.43E-18,3.38E-18,4.69E-18,3.18E-05,4.10E-06,4.30E-06
AWI0005w29,J222412.79+484918.7,10221.56085,77.45821111,80.74932071,None,None,None,2.29E-10,2.21E-12,2.01E-12,165.5325195,50.11195042,34.1977724,2.26E-17,1.21E-17,1.06E-16,3.19E-05,5.82E-06,1.05E-05
AWI0005c01,J205143.50+730449.3,9374.257554,68.60005149,66.74572329,None,None,None,1.90E-10,1.52E-12,1.62E-12,190.4794335,53.79041702,49.31330708,6.41E-18,3.89E-18,1.93E-17,3.20E-05,7.58E-06,8.92E-06
AWI00062gs,J230533.05+145732.5,11596.44413,102.4751727,96.70325583,None,None,None,2.86E-10,2.51E-12,2.70E-12,161.8319172,25.84654433,19.80922923,6.99E-17,2.76E-17,8.37E-17,3.30E-05,3.85E-06,5.05E-06
AWI00062j7,J033709.08-294948.5,10657.29644,87.81175684,87.57263254,None,None,None,2.51E-10,2.35E-12,2.35E-12,236.4125395,24.41461976,27.57191781,8.54E-18,2.89E-18,4.28E-18,3.31E-05,4.10E-06,4.32E-06
AWI0005d5p,J180230.72+583738.4,9660.388268,69.65482982,79.07000104,None,None,None,3.50E-10,3.66E-12,3.31E-12,146.5595058,46.50260338,40.20921619,7.10E-17,4.38E-17,4.84E-16,3.36E-05,4.58E-06,1.98E-05
AWI0005zy4,J032504.59+105835.0,9492.277197,71.0828162,72.09579402,None,None,None,2.94E-10,2.66E-12,2.69E-12,181.1008223,48.56236788,38.5592269,2.09E-17,1.13E-17,5.69E-17,3.40E-05,6.73E-06,8.17E-06
AWI0005zz5,J040238.47-004803.7,11168.15316,82.58977921,80.84577592,None,None,None,2.81E-10,2.54E-12,2.54E-12,175.5621829,22.62121107,19.54277001,4.34E-17,1.55E-17,3.45E-17,3.41E-05,4.43E-06,4.34E-06
AWI0000uji,J151147.67+101259.8,10815.1662,103.8345436,102.2094864,None,None,None,2.97E-10,3.05E-12,3.19E-12,277.7570318,30.011495,36.24526613,7.30E-18,2.55E-18,3.54E-18,3.62E-05,4.61E-06,5.29E-06
AWI0000gjb,J224206.62-032824.4,11162.03556,104.5579098,102.4918878,None,None,None,2.50E-10,2.53E-12,2.54E-12,180.8168544,19.37666745,18.61519577,3.42E-17,1.15E-17,2.08E-17,3.82E-05,4.11E-06,4.20E-06
AWI0000tz1,J154030.20+370101.1,11397.64294,104.4744087,108.7690637,None,None,None,2.43E-10,2.62E-12,2.57E-12,188.0248252,16.35618319,15.96098608,3.13E-17,8.60E-18,1.37E-17,3.95E-05,3.20E-06,3.31E-06
AWI00019fp,J212952.96+525601.9,11174.75386,96.70089894,105.5478113,None,None,None,2.41E-10,2.47E-12,2.46E-12,247.3796683,21.38592952,24.41042436,9.53E-18,2.81E-18,3.78E-18,3.96E-05,4.08E-06,4.17E-06
AWI0005ym9,J035157.43+255955.4,9138.072126,50.0492538,47.41412624,None,None,None,2.64E-10,2.00E-12,1.96E-12,155.0786702,61.18880959,44.80958971,3.06E-17,2.07E-17,4.19E-16,4.02E-05,1.14E-05,3.15E-05
AWI000600b,J043521.12-081730.0,10812.31177,89.49865911,97.36780593,None,None,None,1.94E-10,1.93E-12,1.93E-12,181.008763,29.07447283,26.08580186,1.92E-17,8.76E-18,2.23E-17,4.08E-05,7.03E-06,7.98E-06
AWI00062iw,J032555.87-355515.1,10168.72137,82.28545709,83.93578937,None,None,None,4.05E-10,4.25E-12,4.26E-12,216.3465854,20.66493684,21.45917617,3.27E-17,9.08E-18,1.44E-17,4.11E-05,3.83E-06,4.15E-06
AWI00022y0,J211139.56+534446.4,11208.28143,96.83901408,99.98925761,None,None,None,2.58E-10,2.64E-12,2.55E-12,233.3577573,17.17615711,17.75029856,1.52E-17,3.65E-18,5.13E-18,4.31E-05,3.78E-06,3.84E-06
AWI000425z,J024755.37+553648.4,9481.253271,60.2339252,65.98057984,None,None,None,3.51E-10,3.00E-12,2.79E-12,126.965276,39.59958806,38.09743371,1.58E-16,1.12E-16,1.44E-15,4.31E-05,9.33E-06,5.12E-05
AWI000600n,J043852.53-081329.6,11846.92901,124.3739145,127.0058507,None,None,None,2.21E-10,2.61E-12,2.59E-12,267.4745587,21.19514351,25.22090823,8.18E-18,2.40E-18,3.14E-18,4.35E-05,3.68E-06,4.00E-06
AWI0005ylw,J033906.73+244209.8,11050.66646,78.90467844,85.93345419,None,None,None,2.63E-10,2.49E-12,2.45E-12,184.2225351,18.09100959,17.32400289,3.92E-17,1.24E-17,2.05E-17,4.38E-05,4.26E-06,4.63E-06
AWI0005brt,J182004.41+292653.3,11265.02708,94.37903405,98.76646424,None,None,None,1.66E-10,1.53E-12,1.50E-12,169.5854925,24.2987869,21.64043236,2.37E-17,1.02E-17,2.54E-17,4.54E-05,7.96E-06,9.22E-06
AWI0005w77,J023720.84+395345.8,14852.66258,180.247736,179.4188976,None,None,None,2.40E-10,2.62E-12,2.68E-12,274.1466611,11.14287923,12.80482788,2.26E-17,3.45E-18,3.84E-18,4.57E-05,1.97E-06,2.08E-06
