AWI00062mq,J011743.47-523330.8
AWI0005aeg,J013833.77+780834.3
AWI0000b9g,J023115.97-094845.9
AWI0000zqw,J032847.84+575556.1
AWI0005ylv,J033900.56+294145.6
AWI0005wbq,J043630.82+184215.2
AWI0005zh6,J050206.31-085046.6
AWI0005wcz,J050610.47+062929.2
AWI0005zhi,J050730.59-061059.9
AWI0005wdq,J051740.83+090514.5
AWI0005yp9,J052303.81-044043.7
AWI0005web,J052331.01-010423.6
AWI0005wee,J052408.04+022746.9
AWI0005wef,J052411.19+033521.5
AWI0005ypj,J052437.25-084201.9
AWI0005ypo,J052556.05-021601.5
AWI0005wex,J052617.32+055817.1
AWI0005ypv,J052653.64-100458.1
AWI0005wfv,J052945.11+021539.6
AWI0005yqi,J053047.99-073132.4
AWI0005wi7,J053431.70-035151.2
AWI0005wnz,J053839.81-025646.2
AWI0005yrn,J053844.06-111411.1
AWI0005wox,J053926.39-021503.3
AWI0005wpr,J054006.72-061618.9
AWI0005yrp,J054011.76-094211.1
AWI0005wsk,J054227.76-100151.2
AWI0003lz9,J054330.38+251724.4
AWI00055xr,J054733.26+521144.5
AWI0005zil,J055417.57-383951.1
AWI0005wvr,J055720.57-134921.9
AWI0005ww1,J055804.52-141457.4
AWI0005wwi,J055924.43-145421.8
AWI0003lzu,J060325.99+172444.3
AWI0005ag4,J062612.83+473232.1
AWI0001a1v,J064151.08+100144.6
AWI0002dmo,J113505.30-554840.3
AWI0000wqx,J132217.71+623337.9
AWI0000us7,J142409.74+581826.3
AWI0000vag,J145820.26+150229.3
AWI0000t35,J153456.23+335145.2
AWI00004c1,J161241.51+054140.8
AWI0005b4j,J161808.54-224218.7
AWI0005b88,J163033.90-242806.5
AWI0005dhk,J164021.30+075004.8
AWI0005dhx,J164837.40+351209.3
AWI000028h,J165556.61+241554.0
AWI0005bew,J170737.21-062607.2
AWI0005paa,J171307.83-532428.8
AWI0005bjo,J172734.02-020656.8
AWI00059aj,J180611.37+035840.5
AWI0005xl0,J180841.59-591507.9
AWI0002m6v,J182955.33+004939.0
AWI00017os,J190901.24+110641.3
AWI00059vy,J191845.28+371449.2
AWI0004y3p,J203123.98+283625.0
AWI0001ps3,J205207.92+484956.9
AWI000621k,J205911.24-595822.3
AWI00022vs,J210144.07+521717.6
AWI0006228,J211412.49-015843.1
AWI000622o,J212547.34-022251.3
AWI0005zv8,J212636.95+075307.6
AWI0001q3p,J214537.00+570201.1
AWI0000ns8,J215739.35-083351.4
AWI0002360,J220614.20+600204.6
AWI0005aap,J221513.24+711142.2
AWI0002cu6,J222906.46+631045.9
AWI00023d1,J224836.29+624808.6
AWI0000ojv,J234708.47+153903.2
AWI00019pi,J235135.40+631323.1
AWI0003cp6,J235652.35+611338.1
