AWI0000nfp,J002155.14-672715.9
AWI0000bs0,J003140.76-014737.3
AWI0000jvv,J003507.14+070625.0
AWI00062m4,J004826.42+020753.0
AWI00055sx,J010652.55+743754.5
AWI00055sz,J011636.23+740136.6
AWI0005w6c,J012650.26+454038.8
AWI0004ne5,J013525.89+560237.3
AWI00062a8,J013756.15+211539.9
AWI00062aa,J014113.00+163051.7
AWI0000qox,J020359.52+141132.3
AWI0005w6v,J021327.01+421923.3
AWI0005yjn,J022317.32+381509.7
AWI0005yjp,J022515.75+370707.9
AWI0005w77,J023720.84+395345.8
AWI0000c52,J025149.66-244328.9
AWI0000phh,J025614.05+040254.2
AWI0005yk3,J030651.95+303136.8
AWI00055vo,J031738.10+731810.2
AWI0005w7o,J032429.84+341709.9
AWI00062iw,J032555.87-355515.1
AWI0000mb7,J033337.91-072453.8
AWI00062j7,J033709.08-294948.5
AWI0005ylz,J034400.28+243324.6
AWI0005ym7,J034921.76+242251.0
AWI0005zyr,J035007.87+095528.1
AWI0005w9s,J035958.81+312901.0
AWI0005ymc,J040040.65+202447.8
AWI0002ozm,J041517.47+505124.0
AWI00062df,J043026.69-431245.6
AWI0006006,J043217.75-133511.5
AWI000600n,J043852.53-081329.6
AWI0005zgy,J045245.95-062129.5
AWI0005wcl,J045519.57+163712.9
AWI0005wd8,J051143.75+122012.5
AWI0005yor,J052007.77-055046.0
AWI0005yp1,J052104.79-102057.0
AWI0005we7,J052252.94+005557.8
AWI0005n0p,J052746.74+174407.4
AWI0005wfn,J052859.70+032148.6
AWI0005wg8,J053020.90+004432.8
AWI00055xe,J053523.12+594548.1
AWI00055xg,J053707.15+603636.4
AWI0005e72,J054259.80+445105.2
AWI0000s7e,J103639.10+441425.8
AWI0000y1k,J111714.49-594610.8
AWI0005cwg,J111925.92-301922.9
AWI0005x9h,J114336.83-802900.5
AWI0002dny,J114401.39-552327.0
AWI00056ck,J121456.32-475654.6
AWI00056i5,J132026.77-491325.4
AWI0005f4c,J135518.84-533142.8
AWI0000w9x,J144313.04+014928.7
AWI0000uji,J151147.67+101259.8
AWI0000qxd,J152527.16+284914.6
AWI0000tpu,J153716.27+331834.4
AWI00005x2,J153910.61-154639.2
AWI0000tz1,J154030.20+370101.1
AWI00000lj,J162754.20+061441.3
AWI00057qr,J164548.44-263858.1
AWI0005di7,J165204.85+145827.2
AWI0005844,J171043.91-220016.7
AWI00001l8,J173254.69+404312.3
AWI0005dkx,J173832.90+425112.9
AWI0005bow,J175911.27+135417.8
AWI0002mhd,J184305.97+071626.4
AWI0005xvl,J190206.79-362142.1
AWI0002mxe,J190638.88+203326.9
AWI0005byy,J202222.87+730903.7
AWI0006207,J203711.08-650159.9
AWI0006226,J211124.19-192737.9
AWI00022y0,J211139.56+534446.4
AWI00019fp,J212952.96+525601.9
AWI0006235,J214241.32-013159.7
AWI0002oe7,J214622.33+623151.8
AWI0000phs,J215221.25-031028.9
AWI0000psm,J215947.70-593411.9
AWI0000hdq,J222222.91-531805.1
AWI0005abb,J222653.92+733429.0
AWI0005yfu,J223445.16+375006.0
AWI0000hog,J224414.01-090123.9
AWI0005w41,J230817.21+511146.3
AWI00062l3,J235537.71+081323.7
