AWI00062h7,J002133.47-661816.6
AWI0005mry,J003412.66+540359.0
AWI0005yiv,J005926.26+400918.2
AWI0005zx4,J014928.21+244048.7
AWI00062aj,J020221.16+192323.6
AWI0005yjq,J023047.36+360701.7
AWI0005zfw,J024430.00+280053.8
AWI000425z,J024755.37+553648.4
AWI0000xbv,J025926.83+593531.6
AWI0005ykd,J032448.99+283908.6
AWI0005zy4,J032504.59+105835.0
AWI0002d6a,J033549.39+641324.7
AWI0005ylw,J033906.73+244209.8
AWI0005ym9,J035157.43+255955.4
AWI0005zz5,J040238.47-004803.7
AWI00055vx,J040649.32+702738.0
AWI0005ymi,J041249.03+193219.2
AWI000600b,J043521.12-081730.0
AWI0005yn2,J044717.93+054717.4
AWI0005yn4,J045013.22+034100.3
AWI0005yo4,J051328.63-043910.6
AWI0005d88,J083100.44+185806.0
AWI000437j,J110245.01-632940.4
AWI0005da8,J112256.98-203731.7
AWI0005f32,J134909.18-541342.3
AWI0005f42,J135331.70-523004.9
AWI0005f5v,J140353.79-534628.3
AWI0005av7,J143944.28-402206.3
AWI0005cyr,J144458.63-280251.9
AWI0000v1z,J152954.11+234901.6
AWI0005dyy,J154709.73+303356.0
AWI0000tsh,J155009.26+403823.5
AWI0005b52,J162039.60-263428.5
AWI0005gnp,J164540.79-310226.6
AWI0005djv,J172007.53+354103.6
AWI0005igi,J172452.23-185133.5
AWI00000om,J173129.67+601156.1
AWI0005d5p,J180230.72+583738.4
AWI0005bps,J180533.55+182643.9
AWI0005brt,J182004.41+292653.3
AWI0002ao1,J182614.45-013250.8
AWI0005z1i,J183504.55-661033.0
AWI0005bwq,J192437.52+563454.9
AWI0005c01,J205143.50+730449.3
AWI000621a,J205241.67-531624.8
AWI0005d7g,J205722.53+870157.8
AWI0006222,J210916.04-001405.6
AWI0005w29,J222412.79+484918.7
AWI0005abf,J222753.27+704806.0
AWI0000gjb,J224206.62-032824.4
AWI00062gs,J230533.05+145732.5
AWI00062kw,J232421.82+061110.7
AWI0005ae4,J235449.26+742436.2
AWI0000o39,J235746.21+112827.6
