WISE ID,Bmag,Vmag,Jmag,Hmag,Kmag,BminV,JminK,HminK,Parallax,Distance,Distance Modulus,M_V,Tdisk,Lir/Lstar
J205241.67-531624.8,8.134,7.663,6.807,6.626,6.562,0.471,0.245,0.064,15.8418,63.12413993,4.00097737,3.66202263,45.27966826,0.019745325
J111714.49-594610.8,7.408,7.15,6.641,6.592,6.519,0.258,0.122,0.073,13.1479,76.05777348,4.405718039,2.744281961,196.9130176,0.000126368
J180230.72+583738.4,6.983,6.858,6.637,6.626,6.584,0.125,0.053,0.042,11.2,89.28571429,4.753909887,2.104090113,146.5595058,3.36E-05
J172452.23-185133.5,8.962,8.5,7.57,7.366,7.29,0.462,0.28,0.076,10.1923,98.11328159,4.958639009,3.541360991,90.28118284,0.00237647
J024755.37+553648.4,7.034,6.918,6.623,6.639,6.621,0.116,0.002,0.018,10.1172,98.84157672,4.974698323,1.943301677,126.965276,4.31E-05
J032555.87-355515.1,6.464,6.385,6.248,6.227,6.189,0.079,0.059,0.038,9.95336,100.4685855,5.010151439,1.374848561,216.3465854,4.11E-05
J164548.44-263858.1,7.064,7.02,6.943,6.979,6.919,0.044,0.024,0.06,9.32049,107.2904965,5.152806276,1.867193724,192.1201263,7.78E-05
J005926.26+400918.2,7.697,7.532,7.17,7.21,7.182,0.165,-0.012,0.028,8.83518,113.1838853,5.268922991,2.263077009,65.97787896,0.000342344
J112256.98-203731.7,7.673,7.466,7.133,7.092,7.039,0.207,0.094,0.053,8.79529,113.6972175,5.278749182,2.187250818,132.6645081,5.48E-05
J041249.03+193219.2,8.236,7.783,6.795,6.624,6.602,0.453,0.193,0.022,8.70874,114.8271736,5.300223376,2.482776624,175.8522724,0.00023318
J032504.59+105835.0,7.425,7.294,7.021,7.018,6.98,0.131,0.041,0.038,8.65426,115.5500297,5.313850307,1.980149693,181.1008223,3.40E-05
J033709.08-294948.5,7.359,7.28,7.199,7.193,7.173,0.079,0.026,0.02,7.95846,125.6524503,5.495854811,1.784145189,236.4125395,3.31E-05
J034400.28+243324.6,8.28,8.07,7.633,7.618,7.583,0.21,0.05,0.035,7.82657,127.7698915,5.532142631,2.537857369,249.9083888,0.000154882
