WISEID,G_Bp,G_Rp,G,B,V,J,Junc,H,Hunc,K,Kunc,plx_use,plx_unc_use,Tdisk,Lir_Lstar
J002133.47-661816.6,7.364,7.370257,7.348012,,,7.365,0.027,7.395,0.047,7.395,0.023,6.020646182,0.060268007,215.7384988,2.83E-05
J002155.14-672715.9,11.03462,9.852964,10.50393,,,9.008,0.023,8.495,0.047,8.39,0.021,1.179996373,0.052495149,509.3547963,0.007664882
J003140.76-014737.3,7.09217,6.998045,7.040729,,,6.917,0.019,6.891,0.024,6.886,0.021,7.658224829,0.042634326,201.6299005,8.55E-05
J003412.66+540359.0,7.642627,7.509705,7.581035,,,7.35,0.019,7.306,0.04,7.328,0.021,2.901179011,0.033435411,45.63576258,0.004475499
J004826.42+020753.0,10.60097,9.365108,10.03862,,,8.49,0.026,7.96,0.033,7.819,0.023,1.357613423,0.039509956,206.9564604,0.003698394
J005926.26+400918.2,7.593043,7.387299,7.504092,,,7.17,0.018,7.21,0.047,7.182,0.021,8.628009764,0.051660185,65.97787896,0.000342344
J010652.55+743754.5,8.421149,8.295185,8.366067,,,8.168,0.029,8.177,0.024,8.167,0.033,2.443417955,0.036772906,182.1785722,8.12E-05
J011636.23+740136.6,7.019608,6.815914,6.941895,,,6.764,0.056,6.695,0.034,6.589,0.02,3.977701972,0.132047317,684.9057548,0.000446418
J011743.47-523330.8,10.98758,10.45184,10.77999,,,10.01,0.024,9.677,0.023,9.312,0.021,7.441524841,0.157199345,435.8021097,0.090047025
J012650.26+454038.8,7.500259,7.558683,7.513311,,,7.596,0.02,7.644,0.026,7.647,0.021,2.889561867,0.079273421,313.1601167,8.23E-05
J013525.89+560237.3,7.041698,6.91048,6.98317,,,6.791,0.018,6.83,0.036,6.834,0.023,6.537350144,0.074231973,201.4770513,4.86E-05
J013756.15+211539.9,7.997013,7.912549,7.952923,,,7.824,0.018,7.845,0.029,7.806,0.023,4.15133833,0.040617016,151.6283178,0.000273474
J013833.77+780834.3,9.921279,9.284586,9.669366,,,8.915,0.03,8.898,0.032,8.834,0.021,0.322116231,0.026894341,1209.51909,0.025244688
J014113.00+163051.7,8.627003,8.212894,8.459709,,,7.894,0.021,7.781,0.021,7.758,0.021,1.877265248,0.028752225,165.6182118,0.00030096
J014928.21+244048.7,8.354652,8.182334,8.279245,,,8.013,0.019,7.98,0.027,7.922,0.018,5.546076085,0.060909743,265.9525099,7.44E-05
J015317.94-461421.9,12.86228,10.11268,11.35879,,,8.367,0.027,7.474,0.031,7.155,0.024,0.095451024,0.031591173,373,1.70E-03
J020221.16+192323.6,8.445524,8.251379,8.364387,,,8.09,0.024,8.051,0.023,8.01,0.018,2.469197027,0.027126815,181.2888809,8.93E-05
J021327.01+421923.3,9.287618,8.95268,9.153921,,,8.701,0.018,8.633,0.024,8.629,0.017,3.763850718,0.04469702,167.7972805,0.000273008
J022317.32+381509.7,7.153672,7.125275,7.129059,,,7.037,0.018,7.097,0.027,7.052,0.016,1.029896592,0.015420956,384.6378875,9.51E-05
J022515.75+370707.9,7.343637,7.372801,7.335342,,,7.341,0.018,7.399,0.017,7.38,0.016,7.65969801,0.078900633,207.6913845,6.04E-05
J023047.36+360701.7,7.870986,7.67434,7.785882,,,7.504,0.026,7.487,0.027,7.499,0.023,8.442790979,0.061797572,131.1116204,0.000164048
J023720.84+395345.8,6.455709,6.601406,6.498218,,,6.679,0.023,6.782,0.018,6.81,0.016,3.273265842,0.043997076,274.1466611,4.57E-05
J024430.00+280053.8,8.003888,7.78764,7.90871,,,7.58,0.019,7.58,0.023,7.53,0.029,8.265094916,0.057522664,193.5666807,5.41E-05
J024755.37+553648.4,6.973773,6.798045,6.895463,,,6.623,0.02,6.639,0.029,6.621,0.024,9.915998905,0.039686958,126.965276,4.31E-05
J025149.66-244328.9,10.30396,9.084268,9.750325,,,8.199,0.029,7.718,0.04,7.599,0.026,1.318257124,0.04139249,210.8636803,0.000870347
J025614.05+040254.2,7.717716,7.695549,7.690273,,,7.664,0.032,7.695,0.038,7.695,0.023,2.218133768,0.023534315,214.5920895,6.42E-05
J025926.83+593531.6,7.765622,7.412899,7.621398,,,7.121,0.021,7.037,0.023,6.996,0.024,4.829556036,0.044310074,165.8485348,5.52E-05
J030651.95+303136.8,7.166674,6.781271,7.00528,,,6.47,0.02,6.374,0.021,6.296,0.027,15.8494125,0.037557279,242.8468224,0.000755745
J030854.20-185809.1,7.200473,7.01875,7.124223,,,6.734,0.023,6.537,0.033,6.39,0.018,7.229316852,0.090165288,349.3714881,9.08E-05
J031738.10+731810.2,10.44773,9.437917,10.0093,,,8.753,0.02,8.588,0.029,8.435,0.021,2.510137546,0.06343829,181.0822684,0.00102569
J032429.84+341709.9,8.754146,8.345766,8.593809,,,7.931,0.027,7.848,0.024,7.8,0.021,3.053506334,0.042084607,195.946516,0.000298523
J032448.99+283908.6,7.169282,7.002346,7.096493,,,6.838,0.018,6.847,0.021,6.806,0.027,6.757906573,0.030097451,122.9989993,5.22E-05
J032504.59+105835.0,7.349741,7.184827,7.27342,,,7.021,0.024,7.018,0.036,6.98,0.016,9.00933259,0.055527761,181.1008223,3.40E-05
J032555.87-355515.1,6.429969,6.318924,6.36848,,,6.248,0.021,6.227,0.029,6.189,0.031,6.283284115,0.028204765,216.3465854,4.11E-05
J032847.84+575556.1,14.91817,13.51775,14.29847,,,12.364,0.021,11.806,0.019,11.219,0.022,0.518116429,0.028592345,190.77,2.16E+00
J033337.91-072453.8,7.70436,7.210509,7.502973,,,6.919,0.024,6.793,0.036,6.734,0.021,2.490626359,0.026138992,191.3097436,0.000140116
J033421.19+564343.6,15.07747,13.41757,14.29377,,,11.781,0.018,10.887,0.017,10.033,0.017,2.551146555,0.121015793,749,8.70E-01
J033549.39+641324.7,8.488089,8.181405,8.366236,,,7.93,0.024,7.938,0.033,7.888,0.026,4.812327758,0.060725721,126.8091488,0.000129487
J033709.08-294948.5,7.328792,7.247087,7.28018,,,7.199,0.021,7.193,0.027,7.173,0.018,6.766101339,0.044910359,236.4125395,3.31E-05
J033900.56+294145.6,10.79257,10.24262,10.57955,,,9.66,0.026,9.117,0.03,8.509,0.018,2.060611983,0.040227423,485.2061408,0.239235301
J033906.73+244209.8,7.119921,7.073441,7.086829,,,6.979,0.024,7.025,0.038,7.032,0.02,9.282995792,0.060582932,184.2225351,4.38E-05
J034400.28+243324.6,8.142387,7.865379,8.027895,,,7.633,0.037,7.618,0.044,7.583,0.018,7.569644089,0.052586556,249.9083888,0.000154882
J034921.76+242251.0,6.596025,6.620828,6.589043,,,6.602,0.017,6.63,0.027,6.651,0.017,5.393874848,0.041740351,211.8351701,7.42E-05
J035007.87+095528.1,8.373008,7.664199,8.081065,,,7.114,0.018,6.939,0.036,6.853,0.026,2.523210032,0.034839929,407.1491133,0.001382296
J035157.43+255955.4,7.722227,7.513097,7.633303,,,7.309,0.019,7.332,0.016,7.284,0.017,8.465927539,0.058356646,155.0786702,4.02E-05
J035958.81+312901.0,10.27852,9.642922,10.02452,,,9.194,0.018,9.08,0.018,8.997,0.018,3.393165022,0.063099071,134.1355716,0.002216288
J040040.65+202447.8,8.127547,7.812701,8.000674,,,7.578,0.027,7.534,0.024,7.483,0.029,10.66967229,0.067152956,130.8295911,0.00057395
J040238.47-004803.7,6.942023,6.901466,6.912414,,,6.835,0.02,6.913,0.02,6.855,0.023,6.585505661,0.044120614,175.5621829,3.41E-05
J040649.32+702738.0,8.740887,8.443448,8.623078,,,8.195,0.026,8.19,0.017,8.158,0.018,3.151949322,0.04400876,165.4128285,0.000146303
J041249.03+193219.2,7.927431,7.286453,7.663226,,,6.795,0.021,6.624,0.024,6.602,0.02,7.148848086,0.055892259,175.8522724,0.00023318
J041517.47+505124.0,9.102603,8.749205,8.972105,,,8.462,0.023,8.402,0.023,8.303,0.019,1.068478996,0.04652584,311.4140877,0.000603859
J043026.69-431245.6,7.35992,7.349235,7.332994,,,7.329,0.017,7.356,0.046,7.308,0.023,5.184962345,0.039067488,210.8381268,5.93E-05
J043217.75-133511.5,9.353677,9.146599,9.271414,,,9.009,0.023,8.957,0.024,8.931,0.023,4.205628178,0.057053664,171.1670242,0.00050323
J043521.12-081730.0,7.82976,7.774309,7.7941,,,7.718,0.026,7.707,0.024,7.753,0.04,6.18202798,0.061690334,181.008763,4.08E-05
J043630.82+184215.2,10.24701,9.39617,9.889525,,,8.764,0.019,8.367,0.02,7.986,0.027,8.852644053,0.060263639,483.0122141,0.175292201
J043852.53-081329.6,7.261557,7.272776,7.249655,,,7.261,0.023,7.299,0.038,7.296,0.038,5.809317215,0.058886882,267.4745587,4.35E-05
