SpType,M_V,V-I,G-V,M_G,V-K,G-K,M_K,M_J,J-K
O9V  ,-4.2,-0.369,-0.060543586,-4.260543586,-1,-1.060543586,-3.2,-3.44,-0.24
O9.5V,-4.1,-0.361,-0.05872094,-4.15872094,-0.977,-1.03572094,-3.12,-3.35,-0.23
B0V  ,-4,-0.355,-0.057380891,-4.057380891,-0.958,-1.015380891,-3.04,-3.27,-0.23
B0.5V,-3.6,-0.338,-0.053709019,-3.653709019,-0.913,-0.966709019,-2.69,-2.9,-0.21
B1V  ,-3.1,-0.325,-0.051025218,-3.151025218,-0.874,-0.925025218,-2.23,-2.43,-0.2
B1.5V,-2.8,-0.281,-0.042732866,-2.842732866,-0.752,-0.794732866,-2.05,-2.23,-0.18
B2V  ,-1.7,-0.23,-0.034630764,-1.734630764,-0.602,-0.636630764,-1.1,-1.24,-0.14
B2.5V,-1.4,-0.21,-0.03188991,-1.43188991,-0.544,-0.57588991,-0.86,-0.99,-0.13
B3V  ,-1.1,-0.192,-0.029631145,-1.129631145,-0.492,-0.521631145,-0.61,-0.73,-0.12
B4V  ,-1,-0.176,-0.02778771,-1.02778771,-0.447,-0.47478771,-0.55,-0.66,-0.11
B5V  ,-0.9,-0.165,-0.026609592,-0.926609592,-0.417,-0.443609592,-0.48,-0.59,-0.11
B6V  ,-0.5,-0.145,-0.024652792,-0.524652792,-0.358,-0.382652792,-0.14,-0.23,-0.09
B7V  ,-0.4,-0.133,-0.023592834,-0.423592834,-0.325,-0.348592834,-0.08,-0.16,-0.08
B8V  ,-0.2,-0.108,-0.021657562,-0.221657562,-0.254,-0.275657562,0.05,-0.01,-0.06
B9V  ,0.7,-0.061,-0.019007509,0.680992491,-0.121,-0.140007509,0.82,0.79,-0.03
B9.5V,0.8,-0.035,-0.018089012,0.781910988,-0.048,-0.066089012,0.85,0.83,-0.02
A0V  ,1.11,0.004,-0.017432126,1.092567874,0.041,0.023567874,1.07,1.07,0
A1V  ,1.34,0.044,-0.017644855,1.322355145,0.101,0.083355145,1.24,1.25,0.01
A2V  ,1.48,0.091,-0.019023046,1.460976954,0.188,0.168976954,1.29,1.32,0.03
A3V  ,1.55,0.108,-0.019817606,1.530182394,0.228,0.208182394,1.32,1.35,0.03
A4V  ,1.76,0.164,-0.023529468,1.736470532,0.353,0.329470532,1.41,1.47,0.06
A5V  ,1.84,0.186,-0.02544117,1.81455883,0.403,0.37755883,1.44,1.51,0.07
A6V  ,1.89,0.197,-0.026491767,1.863508233,0.428,0.401508233,1.46,1.54,0.08
A7V  ,2.07,0.242,-0.031440216,2.038559784,0.528,0.496559784,1.54,1.64,0.1
A8V  ,2.29,0.288,-0.037563666,2.252436334,0.626,0.588436334,1.66,1.78,0.12
A9V  ,2.3,0.294,-0.038440653,2.261559347,0.638,0.599559347,1.66,1.78,0.12
F0V  ,2.51,0.339,-0.04558569,2.46441431,0.732,0.68641431,1.76,1.9,0.14
F1V  ,2.79,0.385,-0.05391002,2.73608998,0.828,0.77408998,1.96,2.13,0.17
