#The following lines beginning with # are comments. Readable columns names and datatypes are provided as informational comment lines in addition to the database column names.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#If you want to re-upload this table import it as a Generic Table with these header lines unmodified.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#Name, RA, DEC, MatchID, MatchRA, MatchDEC," Search Distance ("")", designation, ZooniverseID, glon, glat, w1mpro, w1sigmpro, w2mpro, w2sigmpro, w3mpro, w3sigmpro, w4mpro, w4sigmpro, j_m_2mass, j_msig_2mass, h_m_2mass, h_msig_2mass, k_m_2mass, k_msig_2mass, j_h, h_k, A_Vmag, A_B_V, A_Bmag, A_gMag, A_rMag, A_iMag, A_Verr, A_B_Verr, A_Berr, A_gErr, A_rErr, A_iErr, A_objid, A_dstArcSec, A_contamination, G_source_id, G_phot_g_mean_mag,,, G_parallax, G_parallax_error, G_pmra, G_pmra_error, G_pmdec, G_pmdec_error, G_objid, G_dstArcSec, G_contamination, P_gMeanPSFMag, P_gMeanPSFMagErr, P_iMeanPSFMag, P_iMeanPSFMagErr, P_rMeanPSFMag, P_rMeanPSFMagErr, P_yMeanPSFMag, P_yMeanPSFMagErr, P_zMeanPSFMag, P_zMeanPSFMagErr, P_nDetections, P_dstArcSec, P_contamination, T_id, T_pmRA, T_e_pmRA, T_pmDEC, T_e_pmDEC, T_PMflag, T_plx, T_e_plx, T_PARflag, T_dstArcSec, T_contamination, ZooniverseURL,,,,,,,,,,,,,,,,,,
#@string, ra, dec, int, float, float, float, string, string, float, float, float, float, float, float, float, float, float, float, float, float, float, float, float, float, float, float, float, float, float, float, float, float, float, float, float, float, float, float, string, float, int, string, float,,, float, float, float, float, float, float, string, float, int, float, float, float, float, float, float, float, float, float, float, int, float, int, string, float, float, float, float, string, float, float, string, float, int, string,,,,,,,,,,,,,,,,,,
0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97
Name,RA,DEC,MatchID,MatchRA,MatchDEC,dstArcSec,designation,ZooniverseID,glon,glat,w1mpro,w1sigmpro,w2mpro,w2sigmpro,w3mpro,w3sigmpro,w4mpro,w4sigmpro,j_m_2mass,j_msig_2mass,h_m_2mass,h_msig_2mass,k_m_2mass,k_msig_2mass,j_h,h_k,A_Vmag,A_B_V,A_Bmag,A_gMag,A_rMag,A_iMag,A_Verr,A_B_Verr,A_Berr,A_gErr,A_rErr,A_iErr,A_objid,A_dstArcSec,A_contamination,G_source_id,G_phot_g_mean_mag,G_phot_g_mag_err,G_phot_g_mag_err_final,G_parallax,G_parallax_error,G_pmra,G_pmra_error,G_pmdec,G_pmdec_error,G_objid,G_dstArcSec,G_contamination,P_gMeanPSFMag,P_gMeanPSFMagErr,P_iMeanPSFMag,P_iMeanPSFMagErr,P_rMeanPSFMag,P_rMeanPSFMagErr,P_yMeanPSFMag,P_yMeanPSFMagErr,P_zMeanPSFMag,P_zMeanPSFMagErr,P_nDetections,P_dstArcSec,P_contamination,T_id,T_pmRA,T_e_pmRA,T_pmDEC,T_e_pmDEC,T_PMflag,T_plx,T_e_plx,T_PARflag,T_dstArcSec,T_contamination,ZooniverseURL,J_Bmag,J_Bmagerr,J_Vmag,J_Vmagerr,sdss_umag,sdss_uerr,sdss_gmag,sdss_gerr,sdss_rmag,sdss_rerr,sdss_imag,sdss_ierr,sdss_zmag,sdss_zerr,use_tycho,use_gaia,use_ps,use_sdss
AWI0000gib,5.389458333,-66.30461111,408211,5.3894788,-66.3046344,0.088915138,J002133.47-661816.6,AWI00062h7,307.6483157,-50.5490177,7.356,0.027,7.386,0.02,7.365,0.019,6.793,0.066,7.365,0.027,7.395,0.047,7.395,0.023,-0.03,0,7.417,-0.163,7.254,7.288,7.549,NaN,0,0,0,0,0,9.999,31803717,0.232034442,0,4.71E+18,7.393221586,0.000627469,0.010459145,6.124335414,0.375647052,26.49092086,0.025334649,-21.41238231,0.026787957,4.71E+18,0.177681995,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,38703606,26.4909,0.0253346,-21.4124,0.026788,tgas,6.12434,0.375647,tgas,0.18117456,0,https://talk.diskdetective.org/#/subjects/AWI00062h7,7.371,0.019,7.361,0.01,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,TRUE,FALSE,FALSE,FALSE
AWI0006251,5.47975,-67.45441667,380843,5.4797716,-67.4544391,0.086087674,J002155.14-672715.9,AWI0000nfp,307.2741092,-49.4241049,8.253,0.022,8.284,0.02,7.187,0.017,6.655,0.065,9.008,0.023,8.495,0.047,8.39,0.021,0.513,0.105,10.769,0.986,11.755,11.27,10.513,10.184,0.031,0.036,0.018,0.036,0.028,0.026,32003341,0.029140152,0,4.71E+18,10.41064329,0.000930949,0.01048173,1.267051534,0.3707365,5.926672074,0.931581446,3.497949843,0.6975856,4.71E+18,0.076464851,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,38703921,5.92667,0.931581,3.49795,0.697586,tgas,1.26705,0.370737,tgas,0.159319685,0,https://talk.diskdetective.org/#/subjects/AWI0006251,11.747,0.017,10.75,0.06,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,TRUE,FALSE,FALSE,FALSE
AWI00062lo,7.919833333,-1.793694444,397006,7.9198428,-1.793698,0.036388851,J003140.76-014737.3,AWI0000bs0,111.5157619,-64.226623,6.845,0.033,6.895,0.019,6.774,0.017,5.832,0.049,6.917,0.019,6.891,0.024,6.886,0.021,0.026,0.005,7.093,0.066,7.159,7.259,7.141,7.302,0.038,0.114,0.107,0.275,0.015,0.006,2027785,0.072421244,0,2.54E+18,7.070153284,0.000724095,0.010465386,9.156457766,0.500809249,18.42820142,0.035710248,-13.44398568,0.027174183,2.54E+18,0.133307814,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,18,0.133074902,104,212949412,18.4282,0.0357102,-13.444,0.0271742,tgas,9.15646,0.500809,tgas,0.409807254,0,,7.15,0.01,7.07,0.01,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,TRUE,FALSE,FALSE,FALSE
AWI0005mry,8.55275,54.06638889,309648,8.5527612,54.0664035,0.057676991,J003412.66+540359.0,AWI0005mry,120.3765365,-8.7197776,7.346,0.049,7.36,0.038,7.329,0.026,6.881,0.067,7.35,0.019,7.306,0.04,7.328,0.021,0.044,-0.022,7.584,0.203,7.788,7.573,7.711,7.805,0,0,0,0,0,0,56083815,0.666610068,0,4.18E+17,7.612289665,0.000875153,0.010476922,4.686104393,0.339718989,-6.746613089,0.033378306,-14.58694694,0.032021653,4.18E+17,0.090041278,2,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,6,0.268392367,72,452962795,-6.74661,0.0333783,-14.5869,0.0320217,tgas,4.6861,0.339719,tgas,0.268392367,0,https://talk.diskdetective.org/#/subjects/AWI0005mry,7.693,0.019,7.595,0.01,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,TRUE,FALSE,FALSE,FALSE
AWI0000jvv,8.77975,7.106944444,401270,8.7797576,7.1069476,0.02943061,J003507.14+070625.0,AWI0000jvv,115.7649727,-55.5375471,6.94,0.033,7.053,0.021,5.846,0.015,4.923,0.035,8.142,0.019,7.21,0.031,6.969,0.02,0.932,0.241,12.843,1.715,14.558,13.618,12.104,10.539,0.161,0.203,0.124,0.168,0.103,0.008,38860661,0.174253183,0,2.56E+18,11.32634704,0.019803543,0.022387057,NaN,NaN,NaN,NaN,NaN,NaN,2.56E+18,0.110376722,0,13.7763,0.002136,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,52,0.112759783,44,401430118,0.9,3.2,-0.5,2.8,ucac4,NaN,NaN,,0.155621708,0,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,FALSE,TRUE,FALSE,FALSE
AWI00062m4,12.11008333,2.131388889,385631,12.1101231,2.1313911,0.143282236,J004826.42+020753.0,AWI00062m4,121.40011,-60.7314471,7.685,0.024,7.775,0.021,7.098,0.019,5.392,0.043,8.49,0.026,7.96,0.033,7.819,0.023,0.53,0.141,10.221,1.167,11.387,10.874,10.029,9.717,0.127,0.141,0.06,0.065,0.042,0.138,36113023,0.10286275,0,2.55E+18,9.951524956,0.00147258,0.010543647,1.868808729,0.74395713,-12.62512724,1.98931636,-8.246770751,2.710394296,2.55E+18,0.051198314,0,11.6063,0.001,9.98687,0.004761,10.0396,0.180296,10.6595,0.118244,10.2037,0.232348,34,0.202978084,43,257393287,-12.6251,1.98932,-8.24677,2.71039,tgas,1.86881,0.743957,tgas,0.262376873,0,https://talk.diskdetective.org/#/subjects/AWI00062m4,11.483,0.093,10.264,0.046,15.493,0.014,10.923,0.00049,10.058,0.00049,9.763,0.00049,10.125,0.001,TRUE,FALSE,FALSE,TRUE
AWI0005yiv,14.85941667,40.15505556,360304,14.8594173,40.1550634,0.028293714,J005926.26+400918.2,AWI0005yiv,124.5886089,-22.6908962,7.14,0.031,7.176,0.02,7.171,0.016,6.651,0.054,7.17,0.018,7.21,0.047,7.182,0.021,-0.04,0.028,99.999,99.999,99.999,99.999,99.999,99.999,9.999,9.999,9.999,9.999,9.999,9.999,52848997,0.15621276,0,3.74E+17,7.52369871,0.000762855,0.01046814,8.835175815,0.288633643,30.43634233,0.032024719,-22.72986712,0.029656457,3.74E+17,0.16804203,0,NaN,NaN,7.84553,0.047948,NaN,NaN,7.45535,0.001,7.45528,0.065478,8,0.168052585,66,352297435,30.4363,0.0320247,-22.7299,0.0296565,tgas,8.83518,0.288634,tgas,0.431573208,0,https://talk.diskdetective.org/#/subjects/AWI0005yiv,7.697,0.02,7.532,0.01,12.062,0.008,11.242,0.007,10.968,0.006,10.468,0.007,8.276,0.001,TRUE,FALSE,FALSE,FALSE
AWI00055sx,16.71895833,74.63180556,284555,16.7189786,74.6318062,0.019474608,J010652.55+743754.5,AWI00055sx,123.9760854,11.7914541,8.149,0.023,8.177,0.02,8.09,0.021,7.139,0.087,8.168,0.029,8.177,0.024,8.167,0.033,-0.009,0.01,8.334,0.031,8.365,9.169,8.435,8.59,0,0,0,1.209,0,0,60181787,0.095734818,0,5.39E+17,8.385612098,0.000919812,0.010480747,2.825633967,0.314277013,9.291929757,0.039489082,-1.409689806,0.038738513,5.39E+17,0.086728189,2,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,16,0.086651727,44,468597151,9.29193,0.0394891,-1.40969,0.0387385,tgas,2.82563,0.314277,tgas,0.142178589,0,https://talk.diskdetective.org/#/subjects/AWI00055sx,8.465,0.021,8.368,0.012,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,TRUE,FALSE,FALSE,FALSE
AWI00055sz,19.15095833,74.02683333,252443,19.1509795,74.0268334,0.020970633,J011636.23+740136.6,AWI00055sz,124.6938588,11.2413284,6.603,0.039,6.495,0.019,6.286,0.015,5.956,0.038,6.764,0.056,6.695,0.034,6.589,0.02,0.069,0.106,7.008,0.406,7.414,7.089,7.058,7.006,0,0,0,0,0,0,60183598,0.065266116,0,5.36E+17,6.963412842,0.001060696,0.01049405,0.966357087,0.300231055,-2.023516625,0.025466563,-2.135144319,0.023965262,5.36E+17,0.085543843,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,11,0.045635627,60,468679322,-2.02352,0.0254666,-2.13514,0.0239653,tgas,0.966357,0.300231,tgas,0.045635627,0,https://talk.diskdetective.org/#/subjects/AWI00055sz,7.087,0.019,7.05,0.01,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,TRUE,FALSE,FALSE,FALSE
