ZooID,RA,DEC
AWI0000gib,00:21:33.47,-66:18:16.6
AWI0006251,00:21:55.14,-67:27:15.9
AWI00062lo,00:31:40.76,-01:47:37.3
AWI0005mry,00:34:12.66,+54:03:59.0
AWI0000jvv,00:35:07.14,+07:06:25.0
AWI00062m4,00:48:26.42,+02:07:53.0
AWI0005yiv,00:59:26.26,+40:09:18.2
AWI00055sx,01:06:52.55,+74:37:54.5
AWI00055sz,01:16:36.23,+74:01:36.6
AWI00062mq,01:17:43.47,-52:33:30.8
AWI0005w6c,01:26:50.26,+45:40:38.8
AWI0004ne5,01:35:25.89,+56:02:37.3
AWI00062a8,01:37:56.15,+21:15:39.9
AWI0005aeg,01:38:33.77,+78:08:34.3
AWI0000nxi,01:41:13.00,+16:30:51.7
AWI0005zx4,01:49:28.21,+24:40:48.7
AWI00008jh,01:53:17.94,-46:14:21.9
AWI00062aj,02:02:21.16,+19:23:23.6
AWI0000qox,02:03:59.52,+14:11:32.3
AWI0005w6v,02:13:27.01,+42:19:23.3
AWI0005yjn,02:23:17.32,+38:15:09.7
AWI0005yjp,02:25:15.75,+37:07:07.9
AWI0005yjq,02:30:47.36,+36:07:01.7
AWI0000b9g,02:31:15.97,-09:48:45.9
AWI0005w77,02:37:20.84,+39:53:45.8
AWI0005zfw,02:44:30.00,+28:00:53.8
AWI000425z,02:47:55.37,+55:36:48.4
AWI0000c52,02:51:49.66,-24:43:28.9
AWI0000phh,02:56:14.05,+04:02:54.2
AWI0000xbv,02:59:26.83,+59:35:31.6
AWI0005yk3,03:06:51.95,+30:31:36.8
AWI00062ic,03:08:54.20,-18:58:09.1
AWI00055vo,03:17:38.10,+73:18:10.2
AWI0005w7o,03:24:29.84,+34:17:09.9
AWI0005ykd,03:24:48.99,+28:39:08.6
AWI0005zy4,03:25:04.59,+10:58:35.0
AWI00062iw,03:25:55.87,-35:55:15.1
AWI0000zqw,03:28:47.84,+57:55:56.1
AWI00062bl,03:33:37.91,-07:24:53.8
AWI0000xcq,03:34:21.19,+56:43:43.6
AWI0002d6a,03:35:49.39,+64:13:24.7
