Name,WISE_ID,RA,DEC
AWI0004efi,J000011.57+575220.6,0.048305407,57.87238852
AWI0006369,J000023.65+515622.1,0.098587,51.93949
AWI0001qlx,J000136.61+654950.3,0.4025419,65.8306433
AWI00055s3,J000139.68+733642.4,0.415543694,73.61179604
AWI0004efm,J000432.31+580853.9,1.1346736,58.1483075
AWI0002d22,J000514.00+674823.5,1.3083722,67.806544
AWI0004nbm,J000547.33+564247.2,1.447235758,56.71312258
AWI0002d26,J000601.15+692939.2,1.5048606,69.4942406
AWI0001qm6,J000641.00+653515.5,1.6707446,65.58768326
AWI0001qm9,J000755.98+653400.1,1.9832342,65.5666972
AWI0003lr1,J001037.33+593919.8,2.655445,59.65603
AWI00019qn,J001425.91+650401.7,3.607962,65.06716
AWI000635x,J001557.01+521251.2,3.987543,52.21425
AWI0001qmq,J001658.97+655447.4,4.2457434,65.9131926
AWI0004eg1,J001726.07+575302.8,4.35864173,57.88412631
AWI0005mrh,J001948.92+540327.5,4.953834,54.057716
AWI0005zwa,J002024.40+305608.1,5.1017442,30.9356008
AWI0003ls0,J002035.52+595139.3,5.1480328,59.8609444
AWI0005mrk,J002056.08+525120.9,5.2336927,52.8558153
AWI00062h7,J002133.47-661816.6,5.3894788,-66.3046344
AWI0002v9h,J002242.10+611223.2,5.6754547,61.2064676
AWI0003lsa,J002317.87+601408.2,5.824469428,60.23559316
AWI0005w5e,J002744.86+473352.5,6.936938005,47.56461563
AWI00019rf,J002901.68+652748.5,7.2570252,65.4635014
AWI00019rj,J003020.91+644724.9,7.5872494,64.7902607
AWI00019rr,J003047.86+652122.0,7.6994264,65.3561064
AWI0000bs0,J003140.76-014737.3,7.919871346,-1.793721604
AWI000422s,J003201.27+592115.1,8.005714,59.354346
AWI0000x90,J003506.54+633129.6,8.7772869,63.5249033
AWI000422v,J003542.71+585919.3,8.9279722,58.9886892
AWI0006358,J003544.55+513755.6,8.9356586,51.6321097
AWI0005dzs,J004025.60+704229.4,10.106706,70.708255
AWI00023l4,J004133.61+665258.8,10.39004,66.883
AWI0005ms8,J004440.17+542825.6,11.16739122,54.47377056
AWI0000aoe,J005008.72-022322.0,12.53634489,-2.38945931
AWI0000znp,J005159.49+640010.0,12.99788076,64.00279816
AWI0003cr7,J005619.36+611650.6,14.08068264,61.28072219
AWI0005yiv,J005926.26+400918.2,14.85946183,40.15503145
AWI0005w5x,J005927.64+465028.3,14.865144,46.841233
AWI0005e06,J010021.84+711424.3,15.09103,71.24011
AWI000634q,J010424.00+514858.8,16.10004,51.81635
AWI000634k,J010951.80+490313.6,17.4658229,49.0537942
AWI0005w65,J011415.74+441057.8,18.56559636,44.18275718
AWI0002vas,J012153.14+612529.1,20.4714175,61.4247731
AWI0005w6c,J012650.26+454038.8,21.709419,45.677402
AWI0004245,J012653.84+584508.7,21.7274787,58.75503164
AWI00019tm,J012734.41+650618.5,21.89194668,65.10656932
AWI0000x9q,J012954.44+630332.3,22.4768436,63.058987
AWI0005yj7,J013222.86+401520.3,23.09525,40.25565
AWI00062mz,J013332.54-475943.7,23.38506912,-47.99536639
AWI0004ne5,J013525.89+560237.3,23.8578618,56.0437025
AWI00062a8,J013756.15+211539.9,24.48396862,21.26108698
AWI0004ne6,J013819.03+562325.0,24.5792926,56.3902981
AWI00019tu,J013829.26+650258.1,24.621917,65.0494742
AWI0005mth,J013917.35+543601.8,24.82226267,54.60049857 
AWI0004ne7,J013930.27+570935.7,24.87618089,57.15991932
AWI0005aeh,J014031.54+812547.3,25.13149724,81.42981612
AWI0005mti,J014035.16+545631.3,25.14652,54.94203
AWI0005e0y,J014048.97+722346.2,25.2040783,72.396174
AWI00062aa,J014113.00+163051.7,25.3042143,16.51438658
AWI00062n5,J014202.95-410705.0,25.51232043,-41.11810993
AWI000424d,J014222.71+581709.0,25.59468479,58.28583692
AWI000634b,J014922.31+493422.9,27.34298,49.57305
AWI0005zx4,J014928.21+244048.7,27.36757245,24.68018578
AWI00008jh,J015317.94-461421.9,28.32480265,-46.23945312
AWI0004ehf,J015410.30+573624.9,28.5429348,57.6069296
AWI0002d4o,J015433.84+672954.5,28.6410531,67.4984653
AWI0004yhv,J015738.21+622231.1,29.4092312,62.375327
AWI000424k,J015819.96+575203.0,29.58322759,57.86751855
AWI0002vbd,J020206.67+601741.4,30.52781658,60.29484543 
AWI00062aj,J020221.16+192323.6,30.5882107,19.38990087
AWI000424m,J020335.31+575840.4,30.8971672,57.9778978
AWI0000zi8,J021307.20+625719.1,33.2799939,62.9552975
AWI0005w6v,J021327.01+421923.3,33.362606,42.3231361
AWI0005mub,J021432.97+530324.3,33.63743751,53.05675946
