AWI0004efi,J000011.57+575220.6
AWI0006369,J000023.65+515622.1
AWI0001qlx,J000136.61+654950.3
AWI00055s3,J000139.68+733642.4
AWI0004efm,J000432.31+580853.9
AWI0002d22,J000514.00+674823.5
AWI0004nbm,J000547.33+564247.2
AWI0002d26,J000601.15+692939.2
AWI0001qm6,J000641.00+653515.5
AWI0001qm9,J000755.98+653400.1
AWI0003lr1,J001037.33+593919.8
AWI00019qn,J001425.91+650401.7
AWI000635x,J001557.01+521251.2
AWI0001qmq,J001658.97+655447.4
AWI0004eg1,J001726.07+575302.8
AWI0005mrh,J001948.92+540327.5
AWI0005zwa,J002024.40+305608.1
AWI0003ls0,J002035.52+595139.3
AWI0005mrk,J002056.08+525120.9
AWI00062h7,J002133.47-661816.6
AWI0002v9h,J002242.10+611223.2
AWI0003lsa,J002317.87+601408.2
AWI0005w5e,J002744.86+473352.5
AWI00019rf,J002901.68+652748.5
AWI00019rj,J003020.91+644724.9
AWI00019rr,J003047.86+652122.0
AWI0000bs0,J003140.76-014737.3
AWI000422s,J003201.27+592115.1
AWI0000x90,J003506.54+633129.6
AWI000422v,J003542.71+585919.3
AWI0006358,J003544.55+513755.6
AWI0005dzs,J004025.60+704229.4
AWI00023l4,J004133.61+665258.8
AWI0005ms8,J004440.17+542825.6
AWI0000aoe,J005008.72-022322.0
AWI0000znp,J005159.49+640010.0
AWI0003cr7,J005619.36+611650.6
AWI0005yiv,J005926.26+400918.2
AWI0005w5x,J005927.64+465028.3
AWI0005e06,J010021.84+711424.3
AWI000634q,J010424.00+514858.8
AWI000634k,J010951.80+490313.6
AWI0005w65,J011415.74+441057.8
AWI0002vas,J012153.14+612529.1
AWI0005w6c,J012650.26+454038.8
AWI0004245,J012653.84+584508.7
AWI00019tm,J012734.41+650618.5
AWI0000x9q,J012954.44+630332.3
AWI0005yj7,J013222.86+401520.3
AWI00062mz,J013332.54-475943.7
AWI0004ne5,J013525.89+560237.3
AWI00062a8,J013756.15+211539.9
AWI0004ne6,J013819.03+562325.0
AWI00019tu,J013829.26+650258.1
AWI0005mth,J013917.35+543601.8 
AWI0004ne7,J013930.27+570935.7
