M_G, Bp_Rp
-4.247328158,-0.529581125
-4.145844643,-0.518738676
-4.044728054,-0.510614814
-3.641771157,-0.487634325
-3.13924455,-0.470098038
-2.832773012,-0.410982557
-1.725961372,-0.342922326
-1.423793422,-0.316366854
-1.121720094,-0.292531868
-1.020165577,-0.271396861
-0.919168697,-0.256894742
-0.517517708,-0.230586114
-0.416569468,-0.214837394
-0.214950489,-0.18211538
0.687336322,-0.120919272
0.78812899,-0.087246302
1.098768734,-0.036977519
1.328491153,0.014280196
1.467314292,0.074119802
1.53659171,0.09566062
1.743271637,0.166230494
1.821553792,0.193791456
1.870609225,0.207537474
2.046186185,0.263531934
2.260743377,0.320373297
2.269972668,0.327757766
2.473623846,0.3829234
2.74621052,0.438917519
2.937744764,0.495713917
3.024419399,0.516154001
3.168940125,0.548504875
3.33246588,0.584287942
3.621158845,0.640004494
3.784437076,0.670646219
3.919061373,0.694129433
4.053135798,0.718705064
4.340274871,0.769925334
4.387845919,0.779198615
4.664432499,0.826533447
4.731284049,0.836881297
4.807429322,0.849507782
4.845647392,0.855239499
4.988395634,0.878118894
5.035509894,0.887249385
5.167984115,0.910022448
5.384843069,0.948562344
5.581538032,0.985758802
5.617633792,0.995867403
5.700653348,1.014919463
5.77480111,1.032800687
5.98458111,1.060642784
6.111657997,1.120376701
6.323906934,1.163173515
6.50374626,1.26621358
6.658829371,1.353775466
6.707367708,1.381272399
7.002189439,1.440060599
7.202836514,1.528154832
7.371996069,1.592562984
7.535492342,1.678268527
7.661961493,1.702219375
7.935948423,1.803766525
8.123122053,1.868740101
8.30963388,1.932861305
8.541395099,2.0455748
8.965665111,2.167304287
9.212130366,2.23002334
9.501233793,2.304058061
9.835693992,2.418539638
10.21812311,2.513993384
11.13378945,2.722462944
